id,location,name,type_name,inventory_status_code,st_std_desc,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,created_user,created_date,last_edited_user,last_edited_date
STRUCTUREB233154D31894FDCB0AEDE9F20AA430F,01010000008C1FD94599235AC0E8A9AFFDD0374940,PJCT:SPJCT::10502293,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T16:49:35,,2023-11-03T01:42:05
STRUCTUREE0A7327858AF4B41BE01E906853E0BC2,010100000090100A1CD9235AC0C8717BAA0C384940,PJCT:SPJCT::10504204,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-19T09:45:40,,2023-11-03T01:42:12
STRUCTUREdaabb06443b84336bb3cd3a715ea9ecf,010100000080BD9D0580235AC0C0F89A39B2374940,SPJCT:SPJCT:C216501,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:22
STRUCTURE913b8cdf0e5242539e4d64b6ef21c272,01010000009CFA49ADBE235AC03891E1970B384940,SPJCT:SPJCT:C212146,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:27
STRUCTURE75cbe02bcbc4455a8c7d53136b466a55,010100000020D38836B3235AC0A873479728384940,SPJCT:SPJCT:C209404,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:15
STRUCTURE7d11e138b3bc47e5b259418960c7099f,0101000000FC0158E296235AC0A84492F39A374940,SPJCT:SPJCT:C216629,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2024-09-16T11:21:19
STRUCTURE4ab3d06223894bc39f46414d814134a3,01010000000C9829DB97235AC038F9D337CA374940,SPJCT:SPJCT:C216341,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:28
STRUCTURED60ACA15ADCA4E44BF3F369250CA1CDF,0101000000DC68B32998235AC09836B368CA374940,SPJCT:SPJCT::7203372,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:19:34
STRUCTURECBD91F8B933C4A079116FFD5DF0860D7,0101000000D48D4EC854235AC01854E616D5374940,PJCT:SPJCT::10260685,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T11:34:39,,2023-11-03T01:42:02
STRUCTURE71EAB6B99BD24A9D8740ABA996D0A6D1,010100000058FF3C7A94235AC0B8767CCADD374940,PJCT:SPJCT::10261650,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T15:07:09,,2023-11-03T01:42:12
STRUCTURE4CD1A237DAAA4E838B6A2E43126BBD4D,0101000000903DC80680235AC068D7BF8310384940,PJCT:SPJCT::10543597,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-07-22T15:42:28,,2023-11-03T01:42:11
STRUCTUREDACB672A51C64D15B9C37B31F7CE009F,01010000002CAE6F6273235AC0503DD7068D374940,PJCT:SPJCT::10865806,SPAN JUNCTION,PDA,,REGNSK,,REGNSK45,SASKTEL,JOSHH1,2020-04-22T16:02:29,,2025-02-28T07:03:32
STRUCTUREED9A37992137416199544D94FA7989C2,01010000006C28960A73235AC030331FBC28384940,PJCT:SPJCT::10261012,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T13:58:01,,2023-11-03T01:42:02
STRUCTURE2EFC2EFE640C4D15BB403C732A08DF95,010100000060A7BB5F83235AC040E1AC28A8374940,SPJCT:SPJCT::7927194,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:25:12
STRUCTUREDB53C077EC0F43EC81D304FE0D83EEDB,0101000000600EFC5447235AC0A8982C56E3374940,PJCT:SPJCT::10260688,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T11:43:59,,2023-11-03T01:42:13
STRUCTURE30F524D0EAB24A9380A9C9873BA246C0,010100000054D72F458A235AC040D90E5FC9374940,PJCT:SPJCT::10797978,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2020-02-24T13:11:06,,2022-11-10T21:20:46
STRUCTURE6B8E7EE7073743309306858C8DBC7279,0101000000F8A8A05143235AC088F5548E56384940,PJCT:SPJCT::10261014,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:03:30,,2023-11-03T01:42:08
STRUCTUREb9568a78528549768a1c203948c9058a,010100000014CDBBCB54235AC0006F5FACD4374940,SPJCT:SPJCT:C217272,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:16
STRUCTURE42D862F4AA85437BADFFBDFE961DD73A,01010000005CE031BD96235AC0D85B8F0492374940,SPJCT:SPJCT::8606890,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:16:44
STRUCTURE6f7866131a1e43b8840b08e016d6ad41,01010000003019F4C95D235AC0202836DA02384940,SPJCT:SPJCT:C211904,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:16
STRUCTURE5d36ef741a7c4f599cdc4dc37d2a9982,0101000000E81B61E9AD235AC058DE85B5CA374940,SPJCT:SPJCT:C216239,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:22
STRUCTURE80CFF7DC7AAB4B4B83385EEC06E8BAF2,0101000000A8CC6956A3235AC070492BE428384940,PJCT:SPJCT::10261644,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:21:05,,2023-11-03T01:42:15
STRUCTURE4E403CD713594231B7329B155B7D413F,01010000004CF69471B3235AC0E07ECEE428384940,PJCT:SPJCT::10261645,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:22:37,,2023-11-03T01:42:17
