id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_trmnl_id,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,st_fbr_grnd_pnt_ind,st_rte_pdstl_exch_txt
STRUCTURE_REG16/260929,0101000000586B49C360295AC0C8C5FD26583B4940,PED:SST::12529482,,COMPANY STEEL STAKE,LOC_11139785,PDR,REGN826982,27991336,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,2021,LENGTH=DEPTH,100783,,0000,814833,BU,,", REGNSK"
STRUCTURE_REG16/263687,010100000060A1ABB4722B5AC09008C175C83B4940,PED:SST::9092032,,COMPANY STEEL STAKE,LOC_C6204092,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2016,,127035,UNK,0010,985491,U,,"UNK, REGNSK"
STRUCTURE_REG16/265350,01010000003C7D6B2A82295AC0E089A329BD3B4940,PED:JSPED:C233143,,JOINT STANDARD PED,LOC_C6233871,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/265966,01010000007CBF422D002B5AC0F0BCDDCAC63B4940,PED:JSPED:C204444,,JOINT STANDARD PED,LOC_C6205584,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 756 MCCARTHY BLVD,,,BU,,"R 756 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/266027,0101000000B04544C4BC2A5AC0F86D31A7DA3B4940,PED:JSPED:C197974,,JOINT STANDARD PED,LOC_C6199200,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 18 MCCORMICK CRES,,,BU,,"R 18 MCCORMICK CRES, REGNSK"
STRUCTURE_REG16/266262,010100000024B21EDD992A5AC0185581255A3C4940,PED:JSPED:C203244,,JOINT STANDARD PED,LOC_C6204408,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 138 FORSYTH CRES,,,BU,,"R 138 FORSYTH CRES, REGNSK"
STRUCTURE_REG16/266267,01010000008093260BE32A5AC0C8EFA259603C4940,PED:JSPED:C206780,,JOINT STANDARD PED,LOC_C6207882,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 27 MCSHERRY CRES,,,BU,,"R 27 MCSHERRY CRES, REGNSK"
STRUCTURE_REG16/266275,01010000009C81517C2E2B5AC0F02B96C2463C4940,PED:JSPED:C207322,,JOINT STANDARD PED,LOC_C6208432,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 194 TRUDELLE CRES,,,BU,,"R 194 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/266849,0101000000C429E491922B5AC0587E92083B3C4940,PED:JLAPD:C197161,,JOINT LARGE PED,LOC_C6198394,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 219 PAYNTER CRES,,,BU,,"R 219 PAYNTER CRES, REGNSK"
STRUCTURE_REG16/266853,0101000000D40A95DDFE2A5AC04008EECB0F3B4940,PED:JSPED:C197930,,JOINT STANDARD PED,LOC_C6199163,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 134 KRAUSS ST,,,BU,,"R 134 KRAUSS ST, REGNSK"
STRUCTURE_REG16/266854,0101000000C0EE1F31182B5AC0C0FBD1474B3B4940,PED:JSPED:C198221,,JOINT STANDARD PED,LOC_C6199446,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 960 MCCARTHY BLVD,,,BU,,"R 960 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/266862,0101000000ECCD9C19102B5AC0E80CD247B13B4940,PED:JSPED:C203732,,JOINT STANDARD PED,LOC_C6204883,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 19 SIBBALD CRES,,,BU,,"R 19 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/266919,010100000048551746B32A5AC040495FAD3F3C4940,PED:JSPED:C209627,,JOINT STANDARD PED,LOC_C6210668,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 63 SNEATH CRES,,,BU,,"R 63 SNEATH CRES, REGNSK"
STRUCTURE_REG16/266937,01010000001400227E572B5AC00001226C543C4940,PED:JSPED:C197511,,JOINT STANDARD PED,LOC_C6198752,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 31 SHERMAN RD,,,BU,,"R 31 SHERMAN RD, REGNSK"
STRUCTURE_REG16/266963,01010000005C7696F3E12B5AC0B85D84705F3C4940,PED:JSPED:C194358,,JOINT STANDARD PED,LOC_C6195660,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 430 BLACK DR,,,BU,,"R 430 BLACK DR, REGNSK"
STRUCTURE_REG16/266965,01010000009C73B7EBE52B5AC068925CC1E03B4940,PED:JSPED:C198780,,JOINT STANDARD PED,LOC_C6200015,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 626 TOOTHILL ST,,,BU,,"R 626 TOOTHILL ST, REGNSK"
