id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_trmnl_id,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,st_fbr_grnd_pnt_ind,st_rte_pdstl_exch_txt
STRUCTURE_REG16/101,0101000000E448208BB82A5AC0D81ED2E9E53A4940,PED:JSPED:C210423,,JOINT STANDARD PED,LOC_C6211446,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 6120 BRUNSKILL PL,,,BU,,"R 6120 BRUNSKILL PL, REGNSK"
STRUCTURE_REG16/184,010100000024F01E05C72A5AC0D8B292AFF43B4940,PED:SST:C211268,,COMPANY STEEL STAKE,LOC_C6212271,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,R 113 MOLLARD CRES,,,BU,,"R 113 MOLLARD CRES, REGNSK"
STRUCTURE_REG16/236,01010000001CFEDCC8232B5AC0E8E39EA4BC3B4940,PED:JSPED:C204221,,JOINT STANDARD PED,LOC_C6205367,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,S 98 SIBBALD CRES,,,BU,,"S 98 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/241,0101000000D4CF9F8C2A2B5AC0805846C2F53B4940,PED:JSPED:C208847,,JOINT STANDARD PED,LOC_C6209903,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 83 READ AVE,,,BU,,"R 83 READ AVE, REGNSK"
STRUCTURE_REG16/2144,010100000060C0E5F3022A5AC030432ECE5E3C4940,PED:JSPED:C224354,,JOINT STANDARD PED,LOC_C6225231,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 88 MARSHALL CRES,,,BU,,"R 88 MARSHALL CRES, REGNSK"
STRUCTURE_REG16/4460,010100000058E5E92C98295AC068C342C93E3A4940,PED:SST:C248309,,COMPANY STEEL STAKE,LOC_C6248826,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,NO AP IN MARTENS,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/4461,0101000000008302C1AC295AC0C0770DFA123A4940,PED:SST:C203607,,COMPANY STEEL STAKE,LOC_C6204760,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,NO AP MARTENS,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/6345,010100000094BEB200DD2A5AC0106D3327453C4940,PED:JSPED:C206938,,JOINT STANDARD PED,LOC_C6208056,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 75 TRUDELLE CRES,,,BU,,"R 75 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/9439,01010000006C802C53722A5AC05057B4FCEA394940,PED:SST:C220537,,COMPANY STEEL STAKE,LOC_C6221480,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,100783,UP1200 F PT BARKER,,,BU,,"UP1200 F PT BARKER, REGNSK"
STRUCTURE_REG16/9510,01010000005CB2225125295AC078AB096A443B4940,PED:JSPED:C202293,,JOINT STANDARD PED,LOC_C6203474,IPL,,0,,REGNSK,,REGNSK01,SASKPOWER,,NOT IN MARTENS,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/10633,0101000000D8717A19102B5AC018B2900CBB3B4940,PED:JSPED:C203740,,JOINT STANDARD PED,LOC_C6204890,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 11 SIBBALD CRES,,,BU,,"R 11 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/11976,0101000000002CE0088C295AC0C0C8415FB33B4940,PED:JSPED:C233065,,JOINT STANDARD PED,LOC_C6233793,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 36 ROSEMONT CRES,,,BU,,"R 36 ROSEMONT CRES, REGNSK"
STRUCTURE_REG16/13907,0101000000D04444D6DF2A5AC0A81EE9A6293C4940,PED:JSPED:C209202,,JOINT STANDARD PED,LOC_C6210249,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 78 TRUDELLE CRES,,,BU,,"R 78 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/23493,0101000000A41473C4652C5AC0D00656FECA3B4940,PED:SST:C207277,,COMPANY STEEL STAKE,LOC_C6208387,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,100783,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/23574,0101000000F4971AF7FF2B5AC0688E7FE8C73A4940,PED:JSPED:C197899,,JOINT STANDARD PED,LOC_C6199137,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1218 COURTNEY ST,,,BU,,"R 1218 COURTNEY ST, REGNSK"
STRUCTURE_REG16/23588,0101000000542543EEFF2B5AC0D8727E2F6A3A4940,PED:JSPED:C221817,,JOINT STANDARD PED,LOC_C6222742,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1334 COURTNEY ST,,,BU,,"R 1334 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27238,0101000000B8C4B215EB2A5AC0202CF0A3473B4940,PED:JSPED:C198645,,JOINT STANDARD PED,LOC_C6199879,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 91 KRAUSS ST,,,BU,,"R 91 KRAUSS ST, REGNSK"
STRUCTURE_REG16/27419,0101000000EC60A330182B5AC070057781413B4940,PED:JSPED:C198227,,JOINT STANDARD PED,LOC_C6199454,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 972 MCCARTHY BLVD,,,BU,,"R 972 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/27487,010100000054D8A1D4FD2A5AC0A8D9AF1A8F3B4940,PED:JSPED:C200884,,JOINT STANDARD PED,LOC_C6202077,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 30 KRAUSS ST,,,BU,,"R 30 KRAUSS ST, REGNSK"
STRUCTURE_REG16/27615,0101000000F03FD5F5FF2B5AC000BEB81ABA3A4940,PED:JSPED:C221902,,JOINT STANDARD PED,LOC_C6222802,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1226 COURTNEY ST,,,BU,,"R 1226 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27809,010100000008B579F8FF2B5AC098E45DBBD53A4940,PED:JSPED:C197894,,JOINT STANDARD PED,LOC_C6199133,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1210 COURTNEY ST,,,BU,,"R 1210 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27867,01010000001C9F0A64882B5AC0608E531E243C4940,PED:JSPED:C196997,,JOINT STANDARD PED,LOC_C6198234,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 430 FULTON DR,,,BU,,"R 430 FULTON DR, REGNSK"
STRUCTURE_REG16/31486,010100000010FEF88AEF2B5AC0405BC09E4B3C4940,PED:JSPED:C194276,,JOINT STANDARD PED,LOC_C6195576,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 502 HANSEN DR,,,BU,,"R 502 HANSEN DR, REGNSK"
STRUCTURE_REG16/31487,0101000000302A41305B2B5AC0903A401E243C4940,PED:JSPED:C196972,,JOINT STANDARD PED,LOC_C6198210,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 346 FULTON DR,,,BU,,"R 346 FULTON DR, REGNSK"
STRUCTURE_REG16/31532,010100000004AFCA763F2B5AC0C0F6583C2D3C4940,PED:SST:C209999,,COMPANY STEEL STAKE,LOC_C6211034,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100783,R 306 FULTON DR,,,BU,,"R 306 FULTON DR, REGNSK"
STRUCTURE_REG16/31796,0101000000586B49C360295AC0C8C5FD26583B4940,PED:SST::13337900,,COMPANY STEEL STAKE,LOC_11139785,PDA,REGN826982,27991337,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,2025,LENGTH=DEPTH,100791,,0000,826982,,,", REGNSK"
STRUCTURE_REG16/32362,0101000000D045F47F0F2B5AC070DA265EA33B4940,PED:JSPED:C203771,,JOINT STANDARD PED,LOC_C6204921,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 31 SIBBALD CRES,,,BU,,"R 31 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/33252,0101000000287209394F2B5AC0E83DEFAFA63B4940,PED:SST::11447569,,COMPANY STEEL STAKE,LOC_10985543,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2021,,,,0010,104604,U,,", REGNSK"
STRUCTURE_REG16/33382,0101000000D840EA11EB2A5AC010E7F555293B4940,PED:JSPED:C200035,,JOINT STANDARD PED,LOC_C6201257,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 113 KRAUSS ST,,,BU,,"R 113 KRAUSS ST, REGNSK"
STRUCTURE_REG16/33765,0101000000A066BC6B182B5AC0A87B6798403B4940,PED:SST:C198264,,COMPANY STEEL STAKE,LOC_C6199490,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/34117,0101000000D40A3DDCBA295AC080A37C5FE1394940,PED:SST:C201158,,COMPANY STEEL STAKE,LOC_C6205233,IPL,REGN110455-0010,25219603,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,100783,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/36899,010100000010DA5991A42B5AC0F81D5EA5F53B4940,PED:SST::9100669,,COMPANY STEEL STAKE,LOC_C6200079,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2016,,127035,UNK,0010,985491,U,,"UNK, REGNSK"
STRUCTURE_REG16/36912,0101000000980CFCE5A92B5AC0A01EF23BB23B4940,PED:JSPED:C198633,,JOINT STANDARD PED,LOC_C6199865,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/37570,01010000001CE5906F572C5AC020747C93EA394940,PED:SST::12653990,,COMPANY STEEL STAKE,LOC_11871323,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK01,SASKTEL,2023,LENGTH=DEPTH,100783,,0000,820130,,,", REGNSK"
STRUCTURE_REG16/37894,0101000000B8611806652B5AC090884B56113C4940,PED:JSPED:C196642,,JOINT STANDARD PED,LOC_C6197888,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 170 READ AVE,,,BU,,"R 170 READ AVE, REGNSK"
STRUCTURE_REG16/38403,0101000000B863C078372B5AC06026D88CC73B4940,PED:JSPED:C203614,,JOINT STANDARD PED,LOC_C6204771,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 107 STRAUB ST,,,BU,,"R 107 STRAUB ST, REGNSK"
STRUCTURE_REG16/38404,0101000000E874903F272B5AC010EA589BC23B4940,PED:JSPED:C204199,,JOINT STANDARD PED,LOC_C6205346,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 142 STRAUB ST,,,BU,,"R 142 STRAUB ST, REGNSK"
STRUCTURE_REG16/39137,0101000000A43339AD422B5AC088C25DE6493C4940,PED:JSPED::9060332,,JOINT STANDARD PED,LOC_8780743,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2016,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/40141,0101000000C451CAB5722B5AC018BB13DFD53B4940,PED:JSPED:C202926,,JOINT STANDARD PED,LOC_C6204103,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 658 SWEENEY ST,,,BU,,"R 658 SWEENEY ST, REGNSK"
STRUCTURE_REG16/40142,0101000000746797B6722B5AC0F035037DDE3B4940,PED:JSPED:C203161,,JOINT STANDARD PED,LOC_C6204325,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 642 SWEENEY ST,,,BU,,"R 642 SWEENEY ST, REGNSK"
STRUCTURE_REG16/40182,0101000000F4A41B7ACE2B5AC038AC039CF53B4940,PED:JSPED:C196772,,JOINT STANDARD PED,LOC_C6198037,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 283 READ AVE,,,BU,,"R 283 READ AVE, REGNSK"
STRUCTURE_REG16/40184,0101000000F4306AAD9E2B5AC078E9B247113C4940,PED:JSPED:C196902,,JOINT STANDARD PED,LOC_C6198148,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 242 READ AVE,,,BU,,"R 242 READ AVE, REGNSK"
STRUCTURE_REG16/40186,0101000000B486218B772B5AC0983D2B31DB3B4940,PED:JSPED:C205475,,JOINT STANDARD PED,LOC_C6206608,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,S 3 ROBERTS PLACE,,,BU,,"S 3 ROBERTS PLACE, REGNSK"
STRUCTURE_REG16/40188,010100000068BA6185822B5AC018E6CE30DB3B4940,PED:JSPED:C205540,,JOINT STANDARD PED,LOC_C6206661,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 220 MIKKELSON DR,,,BU,,"R 220 MIKKELSON DR, REGNSK"
STRUCTURE_REG16/40190,010100000064A0BDF0A62B5AC0A8305152DA3B4940,PED:JTPED:C199294,,JOINT SPC TRF PED,LOC_C6200519,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/40448,010100000084F61E1F6E2B5AC0305382B4F53B4940,PED:SST::10589331,,COMPANY STEEL STAKE,LOC_C6202231,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100791,,,,BU,,", REGNSK"
STRUCTURE_REG16/41046,0101000000A402E407AB2A5AC0685824443E3A4940,PED:SST::12970762,,COMPANY STEEL STAKE,LOC_C6224128,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,SASKTEL,2023,LENGTH=DEPTH,100791,I 5903 DEWDNEY AVE,0000,822096,,,"I 5903 DEWDNEY AVE, REGNSK"
STRUCTURE_REG16/42557,0101000000F0E84859FF2A5AC0485CFBCD073C4940,PED:SST::11426123,,COMPANY STEEL STAKE,LOC_C6212334,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,SASKTEL,2021,LENGTH=DEPTH,100791,,0010,104604,U,,", REGNSK"
STRUCTURE_REG16/42800,0101000000C4EED7A4882A5AC05037C1EB3E3C4940,PED:JSPED:C209742,,JOINT STANDARD PED,LOC_C6210779,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 3 SNEATH CRES,,,BU,,"R 3 SNEATH CRES, REGNSK"
STRUCTURE_REG16/44748,0101000000705AF55B892A5AC0F8863BE4D43B4940,PED:SST:C196082,,COMPANY STEEL STAKE,LOC_C6197363,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,R 658 CAMPBELL ST,,,BU,,"R 658 CAMPBELL ST, REGNSK"
STRUCTURE_REG16/45816,010100000050CCD232182B5AC028353AA8833B4940,PED:JSPED:C203212,,JOINT STANDARD PED,LOC_C6204375,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 870 MCCARTHY BLVD,,,BU,,"R 870 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/45817,0101000000B04AB1EF1F2B5AC0C8599624993B4940,PED:JSPED:C203719,,JOINT STANDARD PED,LOC_C6204866,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 43 SIBBALD CRES,,,BU,,"R 43 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/45818,0101000000AC3FDFCF162B5AC078C87A28993B4940,PED:JSPED:C203721,,JOINT STANDARD PED,LOC_C6204871,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 39 SIBBALD CRES,,,BU,,"R 39 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/46073,0101000000A80CA1525E2B5AC04892CAC8E43B4940,PED:JSPED:C199721,,JOINT STANDARD PED,LOC_C6200942,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/46074,0101000000AC0049525E2B5AC0909A8010DD3B4940,PED:JSPED:C199730,,JOINT STANDARD PED,LOC_C6200951,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/46075,01010000006C0CF74D5E2B5AC0D031B294C73B4940,PED:JSPED:C202356,,JOINT STANDARD PED,LOC_C6203538,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 708 SNEDDON ST,,,BU,,"R 708 SNEDDON ST, REGNSK"
STRUCTURE_REG16/46134,010100000090B6AA525E2B5AC00045A695E53B4940,PED:SST::11447564,,COMPANY STEEL STAKE,LOC_C6202868,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2021,,,,0010,104604,U,,", REGNSK"
STRUCTURE_REG16/46135,0101000000C4D77B4A5E2B5AC0B061626DB83B4940,PED:SST::11447568,,COMPANY STEEL STAKE,LOC_C6199679,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2021,,,,0010,104604,U,,", REGNSK"
STRUCTURE_REG16/46380,0101000000A4605D7A73295AC090F42C1FC13B4940,PED:JSPED::13089802,,JOINT STANDARD PED,LOC_C6197087,IPL,REGN114606,27530596,,REGNSK,,REGNSK04,SASKPOWER,2023,,,,0010,114606,BU,,", REGNSK"
STRUCTURE_REG16/46381,0101000000404ECC6B66295AC0D006770CB43B4940,PED:JSPED::13089804,,JOINT STANDARD PED,LOC_12211461,IPL,REGN114606,27530598,,REGNSK,,REGNSK04,SASKPOWER,2023,,,,0010,114606,BU,,", REGNSK"
STRUCTURE_REG16/49050,0101000000204281495A2A5AC00881CD5AC63B4940,PED:SST::12175242,,COMPANY STEEL STAKE,LOC_C6230948,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,SASKTEL,2022,LENGTH=DEPTH,100791,,0000,817437,BU,,", REGNSK"
STRUCTURE_REG16/51419,010100000044E03B763F2A5AC0B06043264F3C4940,PED:JSPED:C224224,,JOINT STANDARD PED,LOC_C6225099,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 466 PALLISER ST,,,BU,,"R 466 PALLISER ST, REGNSK"
STRUCTURE_REG16/51420,0101000000809C609AAA2A5AC06815DC004D3C4940,PED:JSPED:C209611,,JOINT STANDARD PED,LOC_C6210651,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,S 75 SNEATH CRES,,,BU,,"S 75 SNEATH CRES, REGNSK"
STRUCTURE_REG16/53377,0101000000608284A205295AC048B93CEFE9394940,PED:SST:C223415,,COMPANY STEEL STAKE,LOC_C6224305,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/58709,0101000000344CE1FFD6295AC0D0B282A75C3B4940,PED:SST:C227848,,COMPANY STEEL STAKE,LOC_C6228683,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/59175,0101000000B80E8B078A2B5AC078266DAA6E3A4940,PED:SST:C218726,,COMPANY STEEL STAKE,LOC_C6219682,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100783,S 106 DOROTHY ST,,,BU,,"S 106 DOROTHY ST, REGNSK"
STRUCTURE_REG16/59634,0101000000D8566287992B5AC03825F713CC3B4940,PED:SST::11500419,,COMPANY STEEL STAKE,LOC_11025876,PDA,REGN106535-0010,23228961,LACC_ATRENCH_F,REGNSK,,REGNSK04,SASKTEL,2021,LENGTH=DEPTH,100791,,0010,106535,BU,,", REGNSK"
STRUCTURE_REG16/68172,0101000000CC63097575295AC038CA25BBBD3B4940,PED:JSPED:C193448,,JOINT STANDARD PED,LOC_C6194779,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 10 TRANSCONA PLACE,,,BU,,"R 10 TRANSCONA PLACE, REGNSK"
STRUCTURE_REG16/69030,0101000000B02D10F8F4285AC018EE5012E73A4940,PED:SST::12196685,,COMPANY STEEL STAKE,LOC_C6200772,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK01,SASKTEL,2022,LENGTH=DEPTH,100791,S 1175 PASQUA ST,0000,817859,,,"S 1175 PASQUA ST, REGNSK"
STRUCTURE_REG16/71760,01010000002CD3ABD84A2B5AC040811BEFAF3B4940,PED:JSPED:C204638,,JOINT STANDARD PED,LOC_C6205778,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 741 SNEDDON ST,,,BU,,"R 741 SNEDDON ST, REGNSK"
STRUCTURE_REG16/71763,010100000008425157392B5AC0787EBFD5103C4940,PED:JSPED:C214281,,JOINT STANDARD PED,LOC_C6215264,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 116 READ AVE,,,BU,,"R 116 READ AVE, REGNSK"
STRUCTURE_REG16/71853,0101000000F0125ADEEE2A5AC0F85E0479F53B4940,PED:SST:C211399,,COMPANY STEEL STAKE,LOC_C6212404,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,100783,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/73303,0101000000E4DC417AB72B5AC028013EA0F53B4940,PED:JSPED:C197103,,JOINT STANDARD PED,LOC_C6198339,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 259 READ AVE,,,BU,,"R 259 READ AVE, REGNSK"
STRUCTURE_REG16/76153,01010000006C9C843A1B295AC020F0C3252D3A4940,PED:JTPED:C203868,,JOINT SPC TRF PED,LOC_C6205018,IPL,,0,,REGNSK,,REGNSK01,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/76451,01010000007093A765F1295AC07874028B5D3C4940,PED:JSPED:C224379,,JOINT STANDARD PED,LOC_C6225258,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 32 NATHAN ST,,,BU,,"R 32 NATHAN ST, REGNSK"
STRUCTURE_REG16/76452,01010000007096E52DCF295AC0B88B93DC503C4940,PED:JSPED:C224461,,JOINT STANDARD PED,LOC_C6225339,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 47 MARSHALL CRES,,,BU,,"R 47 MARSHALL CRES, REGNSK"
STRUCTURE_REG16/76453,010100000000D2EC247C295AC06818D03BB03B4940,PED:JTPED:C193496,,JOINT SPC TRF PED,LOC_C6194824,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/76454,0101000000145C852A7B295AC0C8EF89BCBF3B4940,PED:JTPED:C202636,,JOINT SPC TRF PED,LOC_C6203811,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/76914,0101000000949DEDEDF0295AC000681264603C4940,PED:JTPED:C224420,,JOINT SPC TRF PED,LOC_C6225301,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/76917,0101000000F8A4B798CF295AC0F8C94A33603C4940,PED:JTPED:C224472,,JOINT SPC TRF PED,LOC_C6225351,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/76964,0101000000F017139857295AC0186E80393D3A4940,PED:JSPED:C197094,,JOINT STANDARD PED,LOC_C6198334,IPL,,0,,REGNSK,,REGNSK01,SASKPOWER,,,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/77741,0101000000104AC9EC58295AC0881AACA2793B4940,PED:SST:C193249,,COMPANY STEEL STAKE,LOC_C6194621,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/78716,0101000000687E0E89E1295AC028B1313DCE3A4940,PED:JTPED:C342955,,JOINT SPC TRF PED,LOC_C6342132,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,2013,,,UNK,0010,966275,BU,,"UNK, REGNSK"
STRUCTURE_REG16/82609,0101000000084FBF76D62A5AC0E0B0C408433B4940,PED:JSPED:C198469,,JOINT STANDARD PED,LOC_C6199703,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 66 LYONS ST,,,BU,,"R 66 LYONS ST, REGNSK"
STRUCTURE_REG16/82614,010100000088C916A72C2B5AC040C24D6CDC3B4940,PED:JSPED:C204308,,JOINT STANDARD PED,LOC_C6205453,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 45 STRAUB CRES,,,BU,,"R 45 STRAUB CRES, REGNSK"
STRUCTURE_REG16/82673,01010000000CBF1937002B5AC02027B4685E3C4940,PED:JSPED:C206821,,JOINT STANDARD PED,LOC_C6207922,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 83 MCSHERRY CRES,,,BU,,"R 83 MCSHERRY CRES, REGNSK"
STRUCTURE_REG16/82675,01010000002C15B10E9B2A5AC008902B0C493C4940,PED:JSPED:C209520,,JOINT STANDARD PED,LOC_C6210560,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 84 SNEATH CRES,,,BU,,"R 84 SNEATH CRES, REGNSK"
STRUCTURE_REG16/82676,01010000008406DEA0882A5AC0A0FF6EB92E3C4940,PED:JSPED:C209724,,JOINT STANDARD PED,LOC_C6210763,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 15 SNEATH CRES,,,BU,,"R 15 SNEATH CRES, REGNSK"
STRUCTURE_REG16/82848,010100000040914C59162B5AC098BF0037553A4940,PED:JSPED:C223435,,JOINT STANDARD PED,LOC_C6224324,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,S 1472 MCCARTHY BLVD,,,BU,,"S 1472 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/82934,010100000028765264AF2A5AC07022F4B2F43B4940,PED:SST:C211200,,COMPANY STEEL STAKE,LOC_C6212208,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,R 91 MOLLARD CRES,,,BU,,"R 91 MOLLARD CRES, REGNSK"
STRUCTURE_REG16/83321,0101000000143236F8CB2B5AC040FB213B113C4940,PED:JSPED:C194309,,JOINT STANDARD PED,LOC_C6195610,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 282 READ AVE,,,BU,,"R 282 READ AVE, REGNSK"
STRUCTURE_REG16/83322,01010000005C93822F6B2B5AC04858CF413E3C4940,PED:JSPED:C197465,,JOINT STANDARD PED,LOC_C6198707,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 15 CARTER CRES,,,BU,,"R 15 CARTER CRES, REGNSK"
STRUCTURE_REG16/83323,01010000008CBD3C6F532B5AC06097A3923D3C4940,PED:JSPED:C197531,,JOINT STANDARD PED,LOC_C6198775,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 331 FULTON DR,,,BU,,"R 331 FULTON DR, REGNSK"
