id,location,name,specification,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_actvy_cd,st_sap_ntwk_id,average_floor_height,starting_floor,ending_floor,ground_floor_number
STRUCTURE_REG16/71058,01010000006C26238A702C5AC0B0DA6611A73B4940,BUILD:BUS:C211867,,BUS,IPL,,,REGNSK,REGNSK1N070,REGNSK04,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/71662,01010000008868E0ECFB2A5AC050E5904E093C4940,BUILD:BUS:C211337,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/71663,0101000000C4F7EB6CED2A5AC0A8173DA3EC3B4940,BUILD:BUS:C211403,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/71766,0101000000DCFFFFB3312A5AC090B4F9245C3B4940,BUILD:BUS:C235404,,BUS,IPL,,,REGNSK,REGNSK1L116,REGNSK04,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/76083,0101000000E42F5A6BFB285AC0C0B4F192053B4940,BUILD:BUS:C201751,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/76436,0101000000383D57AA77295AC048E152B9BC3B4940,BUILD:BUS:C195848,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/76437,0101000000C04D067A7A295AC0C8CF70E4B03B4940,BUILD:BUS:C195885,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,AP NOT IN MARTENS,,,,,,
STRUCTURE_REG16/77031,0101000000F4D1AB2CEA295AC050D9D4D9863B4940,BUILD:BUS:C229638,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/92204,01010000005424E944492A5AC0A8D73228B93A4940,BUILD:BUS:C226576,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/92795,0101000000A4DB8BC88D2A5AC0484B1393903B4940,BUILD:BUS:C195558,,BUS,IPL,,,REGNSK,REGNSK1Z065,REGNSK04,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/92797,010100000094B5EF7F772A5AC0C845E930313C4940,BUILD:BUS:C210371,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/92798,01010000007CEEE5EDF12A5AC0305FC060F13B4940,BUILD:BUS:C211406,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/92799,0101000000AC2CDE83E82A5AC070B6EDD9053C4940,BUILD:BUS:C211413,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/92800,0101000000C0FB81DDF62A5AC0D80E5182073C4940,BUILD:BUS:C211428,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/92801,010100000008D5DAEF012B5AC0F02EDBB1053C4940,BUILD:BUS:C211432,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/92880,010100000094C5D4C8342B5AC0F8FE28B2E23A4940,BUILD:BUS:C198288,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/93121,01010000009CE9F58CFC2A5AC07874FBD0B83B4940,BUILD:BUS:C202676,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/118206,010100000020891C2ADF285AC0A8CCF8241B3A4940,BUILD:BUS:C265364,,BUS,IPL,,,REGNSK,REGNSK1L219,REGNSK01,SASKTEL,,NO AP IN MARTENS; OLD SASKTEL CLLI REGNSK1C065,,,12.0,0,1,1
STRUCTURE_REG16/118707,01010000002055E3BE182B5AC0C874E2F1BB394940,BUILD:BUS:C220711,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,NOT IN MARTENS,,,,,,
STRUCTURE_REG16/129660,010100000030CAAA3DA92A5AC038EC4E7CD7394940,BUILD:SEB:C220937,,SEB,IPL,,,REGNSK,REGNSKTR,REGNSK01,SASKTEL,,,,,3.7,0,1,1
STRUCTURE_REG16/134601,010100000098928344002B5AC0B0D1873B523A4940,BUILD:BUS:C223620,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,1987,,,511843,,,,
STRUCTURE_REG16/135251,010100000028186F0D87295AC0300CB398E4394940,BUILD:BUS:C197310,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/135253,010100000004DF3EEF89295AC0789BDC01F4394940,BUILD:BUS:C197462,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/135254,01010000008C1EEFF0BF295AC0B856BF62E5394940,BUILD:BUS:C201197,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/135255,010100000014E50232BC295AC0281F5D07EF394940,BUILD:BUS:C201210,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/135256,01010000006075FA2DD9295AC068DD1094EF394940,BUILD:BUS:C201342,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/135257,01010000005C922886D4295AC0D08F0087F3394940,BUILD:BUS:C201350,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/137839,0101000000F8C6FD65DC295AC0C81B0F0C593B4940,BUILD:BUS:C229666,,BUS,IPL,,,REGNSK,REGNSK1K113,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/139336,0101000000ECB35AF80B295AC0006D8247523B4940,BUILD:BUS:C203840,,BUS,IPL,,,REGNSK,REGNSK1L130,REGNSK01,SASKTEL,,NOT IN MARTENS,,,12.0,0,1,1
STRUCTURE_REG16/139377,0101000000C0DD401E0D295AC028347C8AEA3B4940,BUILD:BUS:C187240,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/139614,010100000098A9CC71E7285AC00828D6414F3A4940,BUILD:BUS::6649770,,BUS,IPL,,,REGNSK,REGNSK1L139,REGNSK01,SASKTEL,2013,,0010,962939,12.0,0,1,1
STRUCTURE_REG16/140058,0101000000BC0044BF8B295AC0C00452F5BA3B4940,BUILD:MDU::12668046,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/140061,0101000000182274BE82295AC0A8DDB629BD3B4940,BUILD:MDU::12668051,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/141058,0101000000688FAC363E295AC0B86EC4ACFA394940,BUILD:BUS:C218209,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/142421,010100000000DC938A5D295AC080431C16A33B4940,BUILD:MDU::12667766,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/142498,010100000074E970BE82295AC098C1C4FEB63B4940,BUILD:MDU::12668370,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/152102,010100000080B9DE82412A5AC08090C7A1B83A4940,BUILD:BUS::11230922,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2020,,0010,104869,,,,
STRUCTURE_REG16/152103,0101000000B08A6C243F2A5AC0E8ADBBC5B83A4940,BUILD:BUS::11230923,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2020,,0010,104869,,,,
STRUCTURE_REG16/155602,0101000000C4D850048D295AC008F1B934BA3B4940,BUILD:MDU::12680230,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/155603,01010000003C3F51AE50295AC0F8508DF7A03B4940,BUILD:MDU::12680543,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/155606,0101000000F8E1EC7881295AC030DC5204C13B4940,BUILD:MDU::12680553,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/157882,01010000007C5E790FDE285AC018C1751B4D3A4940,BUILD:BUS:C202196,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/159000,010100000058D4945572295AC0A0B08B0F243A4940,BUILD:BUS:C197665,,BUS,IPL,,,REGNSK,REGNSK1N185,REGNSK01,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/159295,0101000000BCA2D776C5285AC0185A3ADFC2394940,BUILD:BUS:C220964,,BUS,IPL,,,REGNSK,REGNSKJ6107,REGNSK01,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/160220,0101000000ACA90DFDFC285AC0205EC201EA3A4940,BUILD:BUS::12196686,,BUS,IPL,,,REGNSK,,REGNSK01,,2022,,0000,817859,,,,
STRUCTURE_REG16/160451,0101000000405D37B487295AC060EF10C9C73B4940,BUILD:MDU::12680900,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/160503,0101000000FCC5E01F3E295AC0C0107D07973B4940,BUILD:MDU::6703196,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2012,,0010,963983,,,,
STRUCTURE_REG16/160505,0101000000E0129B1D562A5AC020216FCB9D3A4940,BUILD:MDU::8280897,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,974523,,,,
STRUCTURE_REG16/160527,010100000084EE4D644A2A5AC070143CCC713A4940,BUILD:MDU::8073121,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,974523,,,,
STRUCTURE_REG16/160555,010100000074E2C04BD3295AC0B03E9FE7E03A4940,BUILD:MDU::10749997,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2020,,0010,101279,,,,
STRUCTURE_REG16/160582,0101000000F00D486C3E295AC058D142162A3A4940,BUILD:MDU::10563516,,MDU,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/160887,010100000068B15075EC295AC0A0EA2E28CA3A4940,BUILD:MDU::10542307,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/160904,010100000068DE8DDF3D295AC018180DE1A43B4940,BUILD:MDU::6703199,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2012,,0010,963983,,,,
STRUCTURE_REG16/161119,0101000000B86D6A96C7295AC098C0659CE63A4940,BUILD:MDU::8202394,,MDU,IPL,,,REGNSK,REGNSK1L239,REGNSK04,SASKTEL,2014,,0010,966843,,,,
STRUCTURE_REG16/161324,01010000006411679E4C295AC040693D23A13B4940,BUILD:MDU::6701293,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2013,,0010,963983,,,,
STRUCTURE_REG16/161767,010100000038D6D1E0D2295AC0E87D08E96A3B4940,BUILD:MDU::7312524,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2013,,0010,966714,,,,
STRUCTURE_REG16/162405,010100000024D61CFF492A5AC0A83B407E963A4940,BUILD:MDU::8073117,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,974523,,,,
STRUCTURE_REG16/162409,010100000038DAA045E2295AC05051D3D36C3B4940,BUILD:MDU::10563491,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/162969,0101000000A0B50F6AE0295AC00046EBA3713B4940,BUILD:MDU::7312523,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2013,,0010,966713,,,,
STRUCTURE_REG16/163286,0101000000F08F4081EC295AC0C02E4B27D13A4940,BUILD:MDU::10542296,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/163486,0101000000F0BD688A3E295AC0980672E1A43B4940,BUILD:MDU::6703198,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2012,,0010,963983,,,,
STRUCTURE_REG16/167134,010100000014E78B97D02A5AC0701FAD2F273C4940,BUILD:BUS:D7296026,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/171518,0101000000106FE655D2295AC098A6F6F95A3B4940,BUILD:BUS::7976475,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,976151,,,,
STRUCTURE_REG16/173422,010100000028CB019C6D2A5AC0A8BEA6B3C53A4940,BUILD:BUS::8081115,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,974523,,,,
STRUCTURE_REG16/174456,0101000000E817B7941D295AC050E3E26B393C4940,BUILD:BUS::8271261,,BUS,IPL,,,REGNSK,REGNSK1L526,REGNSK04,SASKTEL,2014,,0010,977982,,,,
STRUCTURE_REG16/174576,010100000070F7064DB52B5AC0588A8E98A43B4940,BUILD:BUS::8045274,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,1974,,,0,,,,
STRUCTURE_REG16/198746,01010000000491057F112B5AC018CC453A4B3A4940,BUILD:BUS:C223609,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/202136,0101000000682F380939295AC0907C25FDEE394940,BUILD:MDU::13021323,,MDU,PDA,REGN110455-0010,LACC_ATRENCH_F,REGNSK,,REGNSK01,SASKTEL,2023,,0010,110455,,,,
STRUCTURE_REG16/204465,01010000002C815E2FE2285AC0F0B3CB034D3A4940,BUILD:BUS:C202202,,BUS,IPL,,,REGNSK,REGNSK8P484,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/208022,0101000000905EEB8A2D2B5AC0009BAD08733B4940,BUILD:BUS:C203528,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/208023,0101000000A017445DF12A5AC0B86B6C90F83B4940,BUILD:BUS:C211446,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/212563,0101000000B4EBB25364295AC038EE4334F3394940,BUILD:BUS:C264381,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/214782,0101000000A482941CD3295AC0389D38E1E73A4940,BUILD:MDU::10749996,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2020,,0010,101279,,,,
STRUCTURE_REG16/216161,010100000090B02F0CEA285AC01095A8AC203A4940,BUILD:BUS::7882394,,BUS,IPL,,,REGNSK,REGNSK1L219,REGNSK01,SASKTEL,2015,,0010,975222,,,,
STRUCTURE_REG16/222076,01010000008C2B93B9D0295AC068572152843B4940,BUILD:MDU::12291082,,MDU,PDA,REGN110945-0010,,REGNSK,,REGNSK04,SASKTEL,2022,,0010,110945,,,,
STRUCTURE_REG16/222171,0101000000A4FC2A14172B5AC028AFFED7923B4940,BUILD:BUS::13201850,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2024,,0000,824577,,,,
STRUCTURE_REG16/223098,0101000000BCAFD6F868295AC0D0078B2AC63B4940,BUILD:MDU::13089822,,MDU,IPL,REGN114606,,REGNSK,,REGNSK04,SASKTEL,2023,,0010,114606,,,,
STRUCTURE_REG16/223251,0101000000C8F474436D295AC0B85D4455383B4940,BUILD:MDU::10749018,,MDU,IPL,,LACC_AAERIAL_F,REGNSK,,REGNSK04,,2020,,0010,101300,,,,
STRUCTURE_REG16/225226,01010000003C1CB7A7CA285AC0804FF3954D3A4940,BUILD:BUS:C202212,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/225543,01010000009C3257366E2A5AC0E83B1B06B43A4940,BUILD:BUS:C218176,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/227668,0101000000F0A7CF06072B5AC0D096568AB73B4940,BUILD:BUS:C203748,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/228604,010100000004CAFBA5362B5AC0D042FFFA643B4940,BUILD:BUS:C203385,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,PWC LMS 20-19,,,12.0,0,1,1
STRUCTURE_REG16/230877,0101000000A4857AE34C295AC018219700483B4940,BUILD:BUS::11648849,,BUS,IPL,,,REGNSK,,REGNSK04,,2021,,0000,814833,,,,
STRUCTURE_REG16/233886,0101000000A09768C88C295AC010E62FC7C73B4940,BUILD:MDU::12680232,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/233957,01010000001C7E316DD5285AC0A07B47AE173B4940,BUILD:BUS:C195134,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/238934,01010000003C6023EB1E295AC0503260A0D6394940,BUILD:BUS:C223407,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/241192,0101000000E8F60E8E24295AC0F0826331523A4940,BUILD:BUS:C199353,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/241525,01010000001083512DC8295AC0D8352589803B4940,BUILD:MDU::10749994,,MDU,PDA,REGN101278-0010,,REGNSK,,REGNSK04,SASKTEL,2019,,0010,101278,,,,
STRUCTURE_REG16/243835,0101000000AC4F5A34742B5AC070770C85CB3B4940,BUILD:BUS:C210406,,BUS,PDR,REGN106535-0010,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/243836,0101000000307E77B1842B5AC028E2CC00AE3B4940,BUILD:MDU::11500400,,MDU,PDA,REGN106535-0010,,REGNSK,,REGNSK04,SASKTEL,2021,,0010,106535,,,,
STRUCTURE_REG16/252002,0101000000408EAB665D295AC020E1FF24843B4940,BUILD:MDU::12668371,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/252981,0101000000F874504AE7285AC0B09D4F87CF394940,BUILD:BUS:C221083,,BUS,IPL,,,REGNSK,REGNSK1L873,REGNSK01,SASKTEL,,,,,12.0,0,1,1
STRUCTURE_REG16/253352,0101000000B0874EB386295AC04080CA6DC53B4940,BUILD:MDU::12680224,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/253649,0101000000BC29657F04295AC080AA8389ED394940,BUILD:BUS:C223425,,BUS,IPL,,,REGNSK,REGNSKJ6239,REGNSK01,SASKTEL,,,,,10.0,0,1,1
STRUCTURE_REG16/254064,0101000000D8B6BF18492A5AC040FE122B823A4940,BUILD:MDU::8073119,,MDU,IPL,,,REGNSK,,REGNSK04,SASKTEL,2014,,0010,974523,,,,
STRUCTURE_REG16/255060,01010000007CA8D1374B295AC0089C9438613B4940,BUILD:BUS::10713836,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,2019,,0000,807819,,,,
STRUCTURE_REG16/260867,0101000000004C65C6852A5AC0585EA366413C4940,BUILD:MDU::13068715,,MDU,IPL,REGN114291,,REGNSK,REGNSK1L935,REGNSK04,SASKTEL,2023,,0010,114291,,,,
STRUCTURE_REG16/262401,010100000064C92BF668295AC04867A927B93B4940,BUILD:MDU::13089828,,MDU,IPL,REGN114606,,REGNSK,,REGNSK04,SASKTEL,2023,,0010,114606,,,,
STRUCTURE_REG16/262486,01010000000050250048295AC030CDEEE2203A4940,BUILD:BUS:C217816,,BUS,IPL,,,REGNSK,REGNSKJ6249,REGNSK01,SASKTEL,,,,,10.0,0,1,1
STRUCTURE_REG16/263505,0101000000BCB7546BE2295AC0603FA81E783B4940,BUILD:BUS:C229645,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/265300,0101000000EC234C8BF9285AC0307FF98F053B4940,BUILD:BUS:C201758,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/271572,01010000002862733686295AC018897673833A4940,BUILD:BUS:C222215,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
