id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/197700,0101000000506CE63FED285AC060A12230113B4940,POL:PPOLE::7275541,,POWER,LOC_7149678,IPL,,0,,0.0,REGNSK,m,,,REGNSK01,SASKPOWER,2013,,,,,,,,0,AE
STRUCTURE_REG16/198728,0101000000B8D86F7EE7285AC0B8B0E8EFC83A4940,POL:PPOLE:C194954,,POWER,LOC_C6196242,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/198889,0101000000A882F5D886295AC0B0589FEC923A4940,POL:PPOLE:C221574,,POWER,LOC_C6222495,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199102,0101000000E86CF1BE442A5AC080119BFFBF3A4940,POL:PPOLE:C220873,,POWER,LOC_C6221807,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199596,010100000088FAE8CA432A5AC0F8588CEA8F3A4940,POL:PPOLE:C214361,,POWER,LOC_C6215353,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199769,0101000000F4D1D4AB1B295AC0789062E3AE3A4940,POL:PPOLE:C201023,,POWER,LOC_C6202212,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199791,01010000000CB0E296E7285AC058D9EEC02E3B4940,POL:PPOLE:C194879,,POWER,LOC_C6196177,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,FDE  E8,,,,,,,,AE
STRUCTURE_REG16/199802,010100000044E9415D9E295AC0502503ADF13B4940,POL:PPOLE:C227431,,POWER,LOC_C6228278,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199837,01010000005C7AD0F3D4295AC0F8ACBBB1543A4940,POL:PPOLE:C213103,,POWER,LOC_C6214113,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199838,0101000000FC8E6433802B5AC0A8F278F29A3A4940,POL:PPOLE:C213116,,POWER,LOC_C6214121,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199845,01010000005400E9214E2A5AC0787DA4FDD93B4940,POL:PPOLE:C221047,,POWER,LOC_C6221979,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199851,010100000034876BB5E72A5AC0D057DD18723A4940,POL:PPOLE:C220714,,POWER,LOC_C6221659,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199852,0101000000205275BD442A5AC080A1B026F73A4940,POL:PPOLE:C220717,,POWER,LOC_C6221655,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199854,01010000008C88EC2D2C2A5AC0D03BE0EA9B3B4940,POL:PPOLE:C221131,,POWER,LOC_C6222060,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199857,0101000000C4E0B22197295AC0F88DC7900C3C4940,POL:PPOLE:C224318,,POWER,LOC_C6225198,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199862,0101000000CC8D7C6D3C2A5AC0F0AC909E543A4940,POL:PPOLE:C214333,,POWER,LOC_C6215319,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199874,0101000000D090545370295AC0D0D901F8E33A4940,POL:PPOLE:C218075,,POWER,LOC_C6219023,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,1972,,,,,,,,,AE
STRUCTURE_REG16/199877,010100000018EFECFD162B5AC0E8ECD230833A4940,POL:PPOLE:C218230,,POWER,LOC_C6219177,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199880,0101000000F863A6292C2A5AC0280A3E84733B4940,POL:PPOLE:C223184,,POWER,LOC_C6224074,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199884,01010000002C3C55DCFD295AC02085C23F633B4940,POL:PPOLE:C221208,,POWER,LOC_C6222136,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199893,01010000003878797C732A5AC0F041E870923B4940,POL:PPOLE:C193880,,POWER,LOC_C6195195,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,NOT IN MARTENS,,,,,,,,AE
STRUCTURE_REG16/199896,010100000028CC4D649E295AC0704F42497E3B4940,POL:PPOLE:C220568,,POWER,LOC_C6221508,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199897,0101000000E015F53A43295AC040103293DF3B4940,POL:PPOLE:C192281,,POWER,LOC_C6193669,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199908,010100000088DA9346002B5AC0B06A3218603A4940,POL:PPOLE:C220896,,POWER,LOC_C6221830,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/199919,01010000000C74B561892A5AC0A027574B163B4940,POL:PPOLE:C200770,,POWER,LOC_C6201962,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199921,01010000009CE8C462D72A5AC030B15797543A4940,POL:PPOLE:C223522,,POWER,LOC_C6224413,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199922,0101000000B8AB0D04B7295AC0C0B1FA9FD33A4940,POL:PPOLE:C224380,,POWER,LOC_C6225259,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/199923,010100000070F23E689F295AC018844AADCE3A4940,POL:PPOLE:C224471,,POWER,LOC_C6225352,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
