id,location,specification,name,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_uom_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_vlt_id,st_bond_to_neut_cd,st_trmnl_id,st_mh_cnfg_cd,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_mh_nk_lg_qty,st_mh_lid_dia_qty,st_envmt_cd,st_rte_id,st_confined_space_designation
STRUCTURE_REG16/355685,01010000006CBE9515182B5AC088BB4F02993B4940,,VAULT:FTTX::11431587,PULLBOX,LOC_C6204961,IPL,,0,LACC_ATRENCH_F,REGNSK,,,REGNSK04,,2021,,,,,,,,0010,104604,,,U,,
STRUCTURE_REG16/361040,0101000000F46CCF8C9B2A5AC0D836D87D423A4940,,VAULT:MH-S:C215915,MANHOLE,LOC_C6216889,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH22,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/362648,0101000000CC4049A7AC2A5AC058C327052C3C4940,,VAULT:FTTX::10085329,PULLBOX,LOC_9729237,IPL,,0,LACC_ATRENCH_F,REGNSK,,,REGNSK04,,2018,,,,,,,,0010,983635,,,U,,
STRUCTURE_REG16/388909,0101000000B47A8E95862A5AC0C8A80A31CA394940,,VAULT:MH-T:C276054,MANHOLE,LOC_C6276273,IPL,,0,SPST_AMANHOLES,REGNSK,,,REGNSK01,RCMP,0,WEIGHT=KG,100820,UNK,,,UNK,,,,,,UG,,N/A
STRUCTURE_REG16/391725,010100000044A06E5EC4295AC03073911A513B4940,,AULT:HHOLE::10787725,HANDHOLE,LOC_10444103,IPL,,0,SPST_ACONDUIT,REGNSK,,m,REGNSK04,BH TELECON,2020,,,BH TELECOM,,,,,0000,807796,,,UG,,
STRUCTURE_REG16/391730,0101000000A452893EC1295AC0182A0280093C4940,,VAULT:MH-S:C218288,MANHOLE,LOC_C6219238,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0026,m,REGNSK04,SASKTEL,0,WEIGHT=KG,,R2A MH11,,,1,,,,83.8,71.0,UG,,HAZARDOUS
STRUCTURE_REG16/431314,0101000000947934A0C1295AC0B0E5E8A0B43A4940,,VAULT:MH-S:C215340,MANHOLE,LOC_C6216318,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH15,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/431347,0101000000C49F1AC2C0295AC0C8CAA5474C3C4940,,VAULT:MH-S:C218237,MANHOLE,LOC_C6219183,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH10,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/451254,01010000009072B51DAC295AC05082D99F2C3A4940,,VAULT:MH-S:C193723,MANHOLE,LOC_C6195037,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,100819,R3G MH12,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/451276,01010000006CB371F74B295AC0E0CEC462BE394940,,VAULT:MH-S:C193453,MANHOLE,LOC_C6194784,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,100819,R3G MH8,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/451290,01010000004832D8F89F295AC0C0BF9BEAE0394940,,VAULT:MH-S:C193645,MANHOLE,LOC_C6194976,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0031,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,,R3G MH11,,,1,,,,,71.0,UG,,HAZARDOUS
STRUCTURE_REG16/490907,0101000000802A759607295AC02069DD64A63A4940,,VAULT:MH-S:C195638,MANHOLE,LOC_C6196935,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,0,WEIGHT=KG,100819,R1D MH15,,,1,,,,,71.0,UG,,HAZARDOUS
STRUCTURE_REG16/510872,010100000010DC524B36295AC030EF5F30AA3A4940,,VAULT:MH-S:C210042,MANHOLE,LOC_C6211082,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R1D MH17,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/530604,0101000000207762ED07295AC0503A3A16AA3A4940,,VAULT:MH-S:C196021,MANHOLE,LOC_C6197310,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,0,WEIGHT=KG,100819,R1D MH16,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/550242,0101000000ECAD57777D295AC0D8E8E7E3E0394940,,VAULT:MH-S:C193569,MANHOLE,LOC_C6194894,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,100819,R3G MH10,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/550521,0101000000140CA9004A295AC030E0BC3DAA3A4940,,VAULT:MH-S:C210073,MANHOLE,LOC_C6211108,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R1D MH18,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/550544,0101000000E88E029A61295AC070E06642AA3A4940,,VAULT:MH-S:C210096,MANHOLE,LOC_C6211132,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R1D MH19,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/550554,01010000005005E3ADC1295AC0C80915B4BA3B4940,,VAULT:MH-S:C218316,MANHOLE,LOC_C6219265,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH12,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/570583,01010000004C962F6F7B2A5AC0780C17A5433A4940,,VAULT:MH-S:C215887,MANHOLE,LOC_C6216863,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH20,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/590151,0101000000A452C0311C2A5AC0A00D69BC433A4940,,VAULT:MH-S:C214116,MANHOLE,LOC_C6215101,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1976,WEIGHT=KG,100819,R2A MH18,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/610057,0101000000A03C77AB1C2B5AC0589D8629433A4940,,VAULT:MH-S:C217731,MANHOLE,LOC_C6218687,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH24,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/627422,0101000000888ED5C7922A5AC0F8EF4712C3394940,,VAULT:MH-S:C245156,MANHOLE,LOC_C6245678,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,RCMP,0,WEIGHT=KG,100819,UNK,,,UNK,,,,,,UG,,N/A
STRUCTURE_REG16/630248,0101000000ACB413C5CE285AC050EE7795A63A4940,,VAULT:MH-S:C193972,MANHOLE,LOC_C6195280,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0022,m,REGNSK01,SASKTEL,0,WEIGHT=KG,100819,R1D MH13,,,UNK,,,,,71.0,UG,,HAZARDOUS
STRUCTURE_REG16/630267,0101000000A03719ABE6285AC090F7ED683F3B4940,,VAULT:MH-S:C199015,MANHOLE,LOC_C6200247,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,0,WEIGHT=KG,,R1E MH8,,,1,,,,,71.0,UG,,HAZARDOUS
