id,location,name,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id
Structure1_WGS84/150743,0101000000B48BBFA654335AC0C07394953C494940,TOWER:TOWER::12492362,Fixed,IPL,,TRNS_APLOWED_F,REGNSK,CONDSK03,CONDSK03,SASKTEL,2023,,,,0000,819546
Structure1_WGS84/151298,0101000000F4C8B47058265AC0280BF02E2E364940,TOWER:FIXED::12810127,Fixed,IPL,,,REGNSK,,REGNSK03,SaskTel,2023,,,,0000,821191
Structure1_WGS84/153050,01010000002CC7080169245AC0E0BA18263A384940,TOWER:FIXED::6760506,Fixed,IPL,,,REGNSK,REGOSKNH,REGNSK01,SaskTel,2014,,,,0010,969785
Structure1_WGS84/153385,0101000000AC9C71A5D42E5AC0004EC2CE12B44940,TOWER:FIXED::12373326,Fixed,IPL,,,SMNSSK,SMNSSK01,SMNSSK01,SaskTel,2019,,,,,
Structure1_WGS84/153815,0101000000AC05D11B0D335AC0600DC594BD5B4940,TOWER:TOWER:C124748,Fixed,IPL,,,LMSDSK,CRVNSK02,CRVNSK04,SASKTEL,,,,,,
Structure1_WGS84/153837,010100000010C25EB962505BC008F87262B9974840,TOWER:TOWER:C536623,Fixed,IPL,,,CNSLSK,DIVDSK01,CNSLSK03,SASKTEL,,,,,,
Structure1_WGS84/153838,01010000009421D54ADD175BC050FDA8C5E1074940,TOWER:TOWER:C515444,Fixed,IPL,,,GLLKSK,,GLLKSK01,SASKTEL,,,,,,
Structure1_WGS84/153839,01010000009871544D34F85AC04816FFFDFDE04840,TOWER:TOWER:C573397,Fixed,IPL,,,SHNVSK,ADMRSKR6000,ADMRSK03,SASKTEL,,,,,,
Structure1_WGS84/153840,0101000000DC643AC541F35AC0008934312A264940,TOWER:TOWER::7390302,Fixed,IPL,,,SWCRSK,SWCRSKCG,SWCRSK02,SASKTEL,2013,,,,0010,971234
Structure1_WGS84/158913,0101000000601BFDD7D55E5BC0289440486BF44840,TOWER:FIXED::12383293,Fixed,IPL,,,MPCKSK,MPCKSK01,MPCKSK01,SaskTel,2003,,,,,
Structure1_WGS84/159138,0101000000F86BE939F8255AC0D0C227D5B2324940,TOWER:TOWER:C196649,Fixed,IPL,,,REGNSK,,REGNSK03,SASKTEL,,,,,,
Structure1_WGS84/159139,0101000000D48989D5D8285AC0185D7036F83F4940,TOWER:TOWER::6603354,Fixed,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,
Structure1_WGS84/159140,0101000000EC0D19EA6B135AC048917B48A5A14940,TOWER:TOWER:C109951,Fixed,IPL,,,PNCHSK,GNIRSK02,GNIRSK01,SASKTEL,,,,,,
Structure1_WGS84/159141,0101000000344AB29CB11C5AC0909AC22C2F794940,TOWER:TOWER:C161123,Fixed,IPL,,,STHYSK,,STHYSK01,SASKTEL,,,,,,
Structure1_WGS84/159173,01010000000C7BFDF0C3F25AC060CBB636812B4940,TOWER:TOWER:C571468,Fixed,IPL,,,SWCRSK,,SWCRSK02,SASKTEL,,,,,,
Structure1_WGS84/159174,0101000000800BA0821DF45AC0F003378FD9234940,TOWER:TOWER:C573834,Fixed,IPL,,,SWCRSK,SWCRSK82,SWCRSK02,SASKTEL,2012,,,,0010,965264
Structure1_WGS84/159221,01010000001C4CDBD68E1E5AC040A403F222394940,TOWER:FIXED::12420690,Fixed,IPL,,,REGNSK,REGNSKQ0016,REGNSK46,SaskTel,1982,,,,,
Structure1_WGS84/164599,010100000024EDFF4947705BC098DCADA11E3A4940,TOWER:FIXED::12363091,Fixed,IPL,,,RCHMSK,RCHMSKQ0001,RCHMSK01,SaskTel,1995,,,,,
Structure1_WGS84/164605,0101000000349EBB9C33DC59C0083CAAB33D1A4940,TOWER:TOWER:C171159,Fixed,IPL,,,MTMRSK,,MTMRSK02,SASKTEL,,,,,,
Structure1_WGS84/164606,0101000000C4E731A42C235AC0101D602560394940,TOWER:TOWER:D7065370,Fixed,IPL,,,REGNSK,,REGNSK46,SASKTEL,,,,,,
Structure1_WGS84/164607,0101000000F005DF946F305AC0C02DDF9A3E424940,TOWER:TOWER:C249062,Fixed,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,
Structure1_WGS84/164608,010100000038A46FD70D265AC050B83645213D4940,TOWER:TOWER:C269691,Fixed,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,
Structure1_WGS84/164609,0101000000FC8CD75EF9BA59C028BFA8BE222F4940,TOWER:TOWER:C141483,Fixed,IPL,,,GRNFSK,GRNFSK02,GRNFSK01,SASKTEL,,,,,,
Structure1_WGS84/164610,01010000005C6C911CBF6259C0E0AC4333A43D4940,TOWER:TOWER:C125139,Fixed,IPL,,,RCVLSK,RCVLSKR0002,RCVLSK01,SASKTEL,,,,,,
Structure1_WGS84/164636,0101000000C4F42E25E5F65AC0987E8BE6F2994840,TOWER:TOWER:C498658,Fixed,IPL,,,VLMRSK,ORKNSK02,ORKNSK01,SASKTEL,,,,,,
Structure1_WGS84/164637,01010000003C9347818FE75AC0480E64EC6DA14840,TOWER:TOWER:C505377,Fixed,IPL,,,VLMRSK,VLMRSK03,VLMRSK01,SASKTEL,,,,,,
Structure1_WGS84/167391,010100000028F69F4E1C245AC098B93FD2383A4940,TOWER:FIXED::8598896,Fixed,IPL,,,REGNSK,REGOSKRF,REGNSK01,SaskTel,2015,,,,0010,980799
Structure1_WGS84/167680,0101000000385E9884DFD95AC088395EA72F324940,TOWER:FIXED::13295295,Fixed,PDA,HRBR825409-0000,,HRBRSK,RSLKSK02,HRBRSK01,SaskTel,2024,,,,0000,825409
Structure1_WGS84/168986,0101000000B0B047ABD1195AC070FD1CD59F384940,TOWER:FIXED::8535531,Fixed,IPL,,,REGNSK,,WHCYSK01,SaskTel,2015,,,,,
Structure1_WGS84/169595,01010000005CD9176647025AC0687F2D3DC7784940,TOWER:FIXED::12398330,Fixed,IPL,,,DYSRSK,DYSRSK01,DYSRSK01,SaskTel,2020,,,,,
Structure1_WGS84/169954,010100000098511AD458275AC058ADE3CAE95C4940,TOWER:TOWER:C214110,Fixed,IPL,,,REGNSK,,KNNLSK01,SASKTEL,,,,,,
Structure1_WGS84/169955,0101000000046D41082B425AC0B06E721B74024940,TOWER:TOWER:C141464,Fixed,IPL,,,AVNLSK,AVNLSK02,AVNLSK01,SASKTEL,,,,,,
Structure1_WGS84/169956,0101000000E4B45D57A23D5AC0D814E3F794324940,TOWER:TOWER:C75624,Fixed,IPL,,,PENSSK,,PENSSK01,SASKTEL,,,,,,
Structure1_WGS84/169957,0101000000EC2650A84D7F5AC010BF982327A44940,TOWER:TOWER:C94982,Fixed,IPL,,,DVSNSK,,DVSNSK03,SASKTEL,,,,,,
Structure1_WGS84/169958,010100000024DF1874D5FA59C0D0559F8A5F634940,TOWER:TOWER:C136655,Fixed,IPL,,,FTQPSK,PSLKSK02,FTQPSK01,SASKTEL,,,,,,
Structure1_WGS84/169984,01010000002084827DF4355BC0D0AD45B54F5C4940,TOWER:TOWER:C508103,Fixed,IPL,,,ABBYSK,,ABBYSK01,SASKTEL,,,,,,
Structure1_WGS84/170420,0101000000D4C1985F13755BC07858E6BC25EC4840,TOWER:FIXED::12456540,Fixed,IPL,,,MPCKSK,DNLKSK01,MPCKSK03,SaskTel,2021,,,,,
