id,name,in_structure,out_structure
ug_route/159200,OSP:FBSP:C236697,st_struct_pedestal/67022,building/48715
ug_route/159201,OSP:FBSP:C263563,mywcom_route_junction/20860,building/48706
ug_route/159202,OSP:BUSP::12358054,mywcom_route_junction/20866,st_struct_pedestal/67011
ug_route/159203,OSP:BUSP:C201128,st_struct_pedestal/66921,st_struct_pedestal/66943
ug_route/159204,OSP:BUSP::12358655,st_struct_pedestal/66873,st_struct_pedestal/67002
ug_route/159205,OSP:FBSP:C236703,st_struct_pedestal/67022,building/48715
ug_route/159206,OSP:FBSP:C263510,mywcom_route_junction/20873,st_struct_pedestal/66835
ug_route/159207,OSP:BUSP::12736283,st_struct_pedestal/66908,st_struct_pedestal/66963
ug_route/159208,OSP:FBSP:C263642,st_struct_pedestal/66973,building/48689
ug_route/159209,OSP:BUSP::12736581,st_struct_pedestal/66978,st_struct_pedestal/66929
ug_route/159210,OSP:BUSP::12358365,st_struct_pedestal/66921,st_struct_pedestal/66943
ug_route/159211,OSP:BUSP::12730827,st_struct_pedestal/66939,mywcom_route_junction/20838
ug_route/159212,OSP:FBSP::8556477,mywcom_route_junction/20848,building/48711
ug_route/159213,OSP:BUSP::12736280,st_struct_pedestal/66836,st_struct_pedestal/66908
ug_route/159214,OSP:BUSP::12358966,mywcom_route_junction/20800,st_struct_pedestal/66881
ug_route/159215,OSP:BUSP::13231610,mywcom_route_junction/20858,mywcom_route_junction/20802
ug_route/159216,OSP:BUSP::13310985,building/48686,st_struct_pedestal/66877
ug_route/159217,OSP:BUSP::12807924,mywcom_route_junction/20812,mywcom_route_junction/20885
ug_route/159218,OSP:BUSP::12358367,st_struct_pedestal/66856,mywcom_route_junction/20837
ug_route/159219,OSP:BUSP::13345527,st_struct_pedestal/67015,building/48710
ug_route/159220,OSP:FBSP:C258571,mywcom_route_junction/20874,st_struct_pedestal/66881
ug_route/159221,OSP:FBSP:C259308,st_struct_pedestal/66856,mywcom_route_junction/20847
ug_route/159222,OSP:FBSP:C262597,st_struct_pedestal/66931,st_struct_pedestal/67024
ug_route/159223,OSP:BUSP::12358423,st_struct_pedestal/66953,st_struct_pedestal/66960
ug_route/159224,OSP:BUSP::12358433,mywcom_route_junction/20869,st_struct_pedestal/67006
ug_route/159225,OSP:FBSP:C254788,st_struct_pedestal/66953,mywcom_route_junction/20857
ug_route/159226,OSP:BUSP::12736009,st_struct_pedestal/67005,st_struct_pedestal/67023
ug_route/159227,OSP:BUSP:C237442,mywcom_route_junction/20807,pole/40425
ug_route/159228,OSP:BUSP::12358416,st_struct_pedestal/66924,st_struct_pedestal/66903
ug_route/159229,OSP:BUSP::12358358,mywcom_route_junction/20835,st_struct_pedestal/66855
ug_route/159230,OSP:BUSP::12736588,st_struct_pedestal/66845,st_struct_pedestal/66981
ug_route/159231,OSP:BUSP::12358996,st_struct_pedestal/66931,st_struct_pedestal/67024
ug_route/159232,OSP:BUSP::12358658,mywcom_route_junction/20806,st_struct_pedestal/66857
ug_route/159233,OSP:BUSP::12358058,st_struct_pedestal/66946,mywcom_route_junction/20810
