id,name,in_structure,out_structure
ug_route/211844,OSP:FBSP:C663632,st_struct_pedestal/90649,building/67108
ug_route/212049,OSP:FBSP:C705570,mywcom_route_junction/27363,building/68805
ug_route/212813,OSP:FBSP:C643175,mywcom_route_junction/27174,st_struct_pedestal/92476
ug_route/212814,OSP:FBSP:C705593,mywcom_route_junction/27735,mywcom_route_junction/27417
ug_route/212899,OSP:FBSP:C651597,mywcom_route_junction/28097,st_struct_pedestal/93416
ug_route/213211,OSP:FBSP:C643485,st_struct_pedestal/93680,st_struct_pedestal/94309
ug_route/213212,OSP:FBSP:C710172,st_struct_pedestal/91178,mywcom_route_junction/27519
ug_route/213327,OSP:FBSP:C645975,st_struct_pedestal/91724,st_struct_pedestal/92422
ug_route/213358,OSP:FBSP:C644248,st_struct_pedestal/92190,st_struct_pedestal/92518
ug_route/213498,OSP:FBSP:C671108,st_struct_pedestal/92412,building/68010
ug_route/214173,OSP:FBSP:C651585,st_struct_pedestal/93466,st_struct_pedestal/91758
ug_route/214202,OSP:FBSP:C644427,st_struct_pedestal/92145,st_struct_pedestal/91443
ug_route/214480,OSP:FBSP:C706375,st_struct_pedestal/92518,st_struct_pedestal/92827
ug_route/214733,OSP:FBSP:C651643,st_struct_pedestal/91040,st_struct_pedestal/94278
ug_route/215754,OSP:FBSP:C662695,st_struct_pedestal/90548,building/68755
ug_route/211404,OSP:BUSP::9451390,mywcom_route_junction/28203,st_struct_pedestal/93951
ug_route/211405,OSP:BUSP::9452065,mywcom_route_junction/28229,st_struct_pedestal/94284
ug_route/211406,OSP:BUSP::9450458,mywcom_route_junction/28009,st_struct_pedestal/92945
ug_route/211383,OSP:CHOLE::13781188,st_struct_vault/2753,mywcom_route_junction/27987
ug_route/211384,OSP:CHOLE::14268404,st_struct_vault/2752,mywcom_route_junction/28036
ug_route/211385,OSP:BUSP:C648397,mywcom_route_junction/27198,st_struct_pedestal/93955
ug_route/211386,OSP:FBSP::13713525,pole/52322,mywcom_route_junction/27995
ug_route/211387,OSP:FBSP::12389060,st_struct_pedestal/92756,mywcom_route_junction/28042
ug_route/211388,OSP:FBSP::12051791,mywcom_route_junction/28209,mywcom_route_junction/27355
ug_route/211389,OSP:BUSP::9498766,mywcom_route_junction/27571,st_struct_pedestal/91628
ug_route/211390,OSP:BUSP::9440504,mywcom_route_junction/27928,st_struct_pedestal/94210
ug_route/211391,OSP:CHOLE::10695867,st_struct_vault/2761,mywcom_route_junction/28156
ug_route/211392,OSP:BUSP::9499399,mywcom_route_junction/28128,st_struct_pedestal/93353
ug_route/211393,OSP:BUSP::9525948,mywcom_route_junction/27613,cabinet/2840
