id,name,in_structure,out_structure
oh_route/93542,OSP:MESS:C650625,pole/53154,pole/54201
oh_route/93543,OSP:MESS:C667061,pole/53239,pole/54055
oh_route/93544,OSP:MESS:C644752,pole/52821,pole/53453
oh_route/93545,OSP:MESS::7635431,pole/54077,pole/52262
oh_route/93546,OSP:MESS:C706699,pole/52284,pole/52526
oh_route/93547,OSP:MESS::8145115,pole/52896,pole/54412
oh_route/93548,OSP:MESS:C658300,pole/52472,pole/54288
oh_route/93549,OSP:MESS:C639952,pole/52933,pole/53240
oh_route/93550,OSP:MESS::8088778,pole/54212,pole/54161
oh_route/93551,OSP:MESS:C646452,pole/54273,pole/52511
oh_route/93552,OSP:MESS:C646429,pole/53887,pole/52987
oh_route/93553,OSP:MESS:C644682,pole/53829,pole/53092
oh_route/93554,OSP:MESS:C649764,pole/53658,pole/53248
oh_route/93555,OSP:MESS::8081821,pole/52873,pole/52822
oh_route/93556,OSP:MESS:C667874,pole/54405,pole/53559
oh_route/93557,OSP:MESS:C709533,pole/53109,pole/52621
oh_route/93558,OSP:MESS::10668359,pole/53945,pole/53693
oh_route/93559,OSP:MESS:C637188,pole/52281,pole/52949
oh_route/93560,OSP:MESS:C647551,pole/53843,pole/52704
oh_route/93561,OSP:MESS::8092292,pole/52850,pole/54270
oh_route/93562,OSP:MESS:C640735,pole/52911,pole/53315
oh_route/93563,OSP:MESS::8130724,pole/54012,pole/54174
oh_route/93564,OSP:MESS::8092304,mywcom_route_junction/28040,pole/53304
oh_route/93565,OSP:MESS:C709245,pole/53534,building/66967
oh_route/93566,OSP:MESS::8091021,pole/52319,pole/54090
oh_route/93567,OSP:MESS:C654243,pole/52937,pole/52869
oh_route/93568,OSP:MESS::8088775,pole/52353,pole/52465
oh_route/93569,OSP:MESS:C660460,pole/52281,pole/53228
oh_route/93570,OSP:MESS:C653777,pole/54076,pole/54507
oh_route/93571,OSP:MESS::11096900,pole/53577,building/66677
oh_route/93572,OSP:MESS::8157580,pole/52704,pole/54198
oh_route/93573,OSP:MESS:C638914,pole/53795,pole/54318
oh_route/93574,OSP:MESS::8079817,pole/53995,pole/53732
oh_route/93575,OSP:MESS::8123658,pole/52767,pole/53661
oh_route/93576,OSP:MESS:C660742,pole/53348,pole/53451
oh_route/93577,OSP:MESS:C644866,pole/54239,pole/54210
oh_route/93578,OSP:MESS:C651050,pole/52471,building/68320
oh_route/93579,OSP:MESS:C645007,pole/53343,pole/52541
oh_route/93580,OSP:MESS::8091658,pole/53582,pole/53538
oh_route/93581,OSP:MESS:C652738,pole/52232,pole/54227
oh_route/93582,OSP:MESS:C644593,pole/53084,pole/53751
oh_route/93583,OSP:MESS:C646404,pole/53044,pole/52808
oh_route/93584,OSP:MESS:C645151,pole/53313,pole/53499
oh_route/93585,OSP:MESS::8169424,pole/53601,pole/53150
oh_route/93586,OSP:MESS:C667773,pole/53814,pole/54015
oh_route/93587,OSP:MESS:C637051,pole/53806,pole/52898
oh_route/93588,OSP:MESS:C646279,pole/53481,pole/54396
oh_route/93589,OSP:MESS:C709941,pole/53716,building/66880
oh_route/93590,OSP:MESS:C636596,pole/52899,pole/52721
oh_route/93591,OSP:MESS:C645674,pole/53445,pole/54247
oh_route/93592,OSP:MESS:C636954,pole/54010,pole/54172
