id,name,in_structure,out_structure
ug_route/241149,OSP:CHOLE::13781188,st_struct_vault/2753,mywcom_route_junction/27987
ug_route/241150,OSP:CHOLE::14268404,st_struct_vault/2752,mywcom_route_junction/28036
ug_route/241151,OSP:BUSP:C648397,mywcom_route_junction/27198,st_struct_pedestal/93955
ug_route/241152,OSP:FBSP::13713525,pole/52322,mywcom_route_junction/27995
ug_route/241153,OSP:FBSP::12389060,st_struct_pedestal/92756,mywcom_route_junction/28042
ug_route/241154,OSP:FBSP::12051791,mywcom_route_junction/28209,mywcom_route_junction/27355
ug_route/241155,OSP:BUSP::9498766,mywcom_route_junction/27571,st_struct_pedestal/91628
ug_route/241156,OSP:BUSP::9440504,mywcom_route_junction/27928,st_struct_pedestal/94210
ug_route/241157,OSP:CHOLE::10695867,st_struct_vault/2761,mywcom_route_junction/28156
ug_route/241158,OSP:BUSP::9499399,mywcom_route_junction/28128,st_struct_pedestal/93353
ug_route/241159,OSP:BUSP::9525948,mywcom_route_junction/27613,cabinet/2840
ug_route/241160,OSP:FBSP:C708420,st_struct_buried_splice_location/3906,st_struct_pedestal/94177
ug_route/241161,OSP:BUSP::9450741,mywcom_route_junction/27478,st_struct_pedestal/91842
ug_route/241162,OSP:BUSP::9451386,mywcom_route_junction/28107,st_struct_pedestal/92273
ug_route/241163,OSP:BUSP::9451799,mywcom_route_junction/27427,st_struct_pedestal/92994
ug_route/241164,OSP:BUSP::9451810,mywcom_route_junction/28056,st_struct_pedestal/91124
ug_route/241165,OSP:BUSP::9451802,mywcom_route_junction/28175,st_struct_pedestal/92041
ug_route/241166,OSP:BUSP::9450431,mywcom_route_junction/28146,st_struct_pedestal/94113
ug_route/241167,OSP:BUSP::9451383,mywcom_route_junction/27514,st_struct_pedestal/91790
ug_route/241168,OSP:BUSP::9452062,mywcom_route_junction/27173,st_struct_pedestal/91894
ug_route/241169,OSP:BUSP::9452056,mywcom_route_junction/27252,st_struct_pedestal/94183
ug_route/241170,OSP:BUSP::9451390,mywcom_route_junction/28203,st_struct_pedestal/93951
ug_route/241171,OSP:BUSP::9452065,mywcom_route_junction/28229,st_struct_pedestal/94284
ug_route/241172,OSP:BUSP::9450458,mywcom_route_junction/28009,st_struct_pedestal/92945
ug_route/241173,OSP:BUSP::9450747,mywcom_route_junction/27210,st_struct_pedestal/93737
ug_route/241174,OSP:BUSP::9451075,mywcom_route_junction/27533,st_struct_pedestal/93470
ug_route/241175,OSP:BUSP::9450463,mywcom_route_junction/27819,st_struct_pedestal/90672
ug_route/241176,OSP:BUSP::9450746,mywcom_route_junction/27655,st_struct_pedestal/93113
ug_route/241177,OSP:BUSP::9451805,mywcom_route_junction/27184,st_struct_pedestal/90959
ug_route/241178,OSP:BUSP::9452059,mywcom_route_junction/27997,st_struct_pedestal/93955
ug_route/241179,OSP:BUSP::9450464,mywcom_route_junction/27849,st_struct_pedestal/91910
ug_route/241180,OSP:BUSP::9275655,mywcom_route_junction/28103,st_struct_pedestal/93064
ug_route/241181,OSP:BUSP::9450744,mywcom_route_junction/27655,mywcom_route_junction/27210
ug_route/241182,OSP:BUSP::13020514,st_struct_pedestal/94299,mywcom_route_junction/27890
ug_route/241183,OSP:BUSP::9469353,mywcom_route_junction/27153,st_struct_pedestal/90729
ug_route/241184,OSP:FBSP::12051789,st_struct_pedestal/92072,mywcom_route_junction/28209
ug_route/241185,OSP:BUSP::9455558,mywcom_route_junction/27848,st_struct_pedestal/90967
ug_route/241186,OSP:BUSP::10069940,st_struct_pedestal/93496,st_struct_pedestal/90773
ug_route/241187,OSP:FBSP::12051790,mywcom_route_junction/28209,st_struct_pedestal/91211
ug_route/241188,OSP:CHOLE::12078037,st_struct_vault/2722,mywcom_route_junction/27980
ug_route/241189,OSP:CHOLE::13781189,st_struct_vault/2716,mywcom_route_junction/27102
ug_route/241190,OSP:BUSP::9450427,mywcom_route_junction/27459,st_struct_pedestal/92508
ug_route/241191,OSP:BUSP:C645706,mywcom_route_junction/27139,st_struct_pedestal/94302
ug_route/241192,OSP:CHOLE::16958664,st_struct_vault/2763,mywcom_route_junction/27467
ug_route/241193,OSP:CHOLE::16958671,st_struct_vault/2763,mywcom_route_junction/27439
ug_route/241194,OSP:CHOLE::12440284,st_struct_vault/2768,mywcom_route_junction/27426
ug_route/241195,OSP:BUSP::9530109,cabinet/2761,st_struct_pedestal/91545
ug_route/241196,OSP:BUSP:C658279,st_struct_pedestal/93456,pole/52692
