id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/801227,01020000000200000098C7E36798F15AC078880981D42349405063076A98F15AC0808AD603C6234940,pole/53319,pole/53384,OSP:MESS:C669130,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/107445,01020000000200000090BB2D63B3F25AC0F09055C39E244940CCA7AF63B3F25AC0009AB53F90244940,pole/53418,pole/52781,OSP:MESS:C649565,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/253546,01020000000200000048BBA64740F25AC09081489BB7234940D4543C4C40F25AC0F8103E15A9234940,pole/52551,pole/52809,OSP:MESS:C655913,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/75414,0102000000020000002C826B936FF35AC08832557C3825494070A073F66FF35AC00879410747254940,pole/53312,pole/52760,OSP:MESS:C640659,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,SZOSG1,2017-11-14T18:03:31
oh_route/857034,01020000000200000048BF3B01E6F35AC060061B254F2449404C8675A6DAF35AC028D24B994F244940,pole/53287,pole/53144,OSP:MESS::8169784,MESSENGER,MESSENGER,IPL,,Aerial Fiber,47.300000000000004,SASKTEL,,SWCRSK02,,2014,974757,,,THUND1,2023-11-02T01:33:53
oh_route/148160,01020000000200000000E17D3440F25AC0307B2FE4EF234940AC03753740F25AC06054594EE1234940,pole/53089,pole/52644,OSP:MESS:C655906,MESSENGER,MESSENGER,IPL,,Poles,0.0,SASKTEL,,SWCRSK02,,,,,,THUND1,2019-08-28T00:05:47
oh_route/335220,0102000000020000006864015AADF45AC08021C666652449409493395EADF45AC0C825BB2A74244940,pole/53901,pole/52308,OSP:MESS:C667869,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,FLANR2,2022-04-12T16:56:05
oh_route/151786,01020000000200000028E9E7A124EF5AC0900EECBE440E49401C2046A524EF5AC0E0B2F56C530E4940,pole/54305,pole/54275,OSP:MESS:C657646,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,WYMRSK02,,,,,,CHENR1,2022-05-02T05:39:50
oh_route/333428,01020000000200000050304C6EE0F35AC0689E123322244940C8F1CBDFEBF35AC0B8446D0923244940,pole/53337,pole/52764,OSP:MESS:C652887,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,VUDUP1,2019-03-26T00:04:22
oh_route/204167,01020000000200000044F5CE4F6EF15AC0D820DB85E82249408405AD7663F15AC0E0099A5CED224940,pole/53015,pole/53726,OSP:MESS:C666374,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,HUNTG1,2019-06-17T14:49:02
oh_route/14393,0102000000020000008070B98524EF5AC0307EE829C20D49404C4C078024EF5AC0289C2B57B30D4940,pole/54467,pole/52618,OSP:MESS:C657638,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,WYMRSK02,,,,,,CHENR1,2022-05-02T05:39:49
oh_route/277940,0102000000020000001C9E04BA3FEF5AC090301A39180E494044C221C83FEF5AC058025B58090E4940,pole/52406,pole/52995,OSP:MESS:C657610,MESSENGER,MESSENGER,IPL,,Poles,0.0,SASKTEL,,WYMRSK02,,,,,,CHENR1,2022-05-02T05:39:49
oh_route/348990,010200000002000000F0924E1054F35AC0D884597A4A244940C47823AC53F35AC02038D5973B244940,pole/53530,pole/52536,OSP:MESS:C653500,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,HUNTG1,2024-05-16T14:28:27
oh_route/308221,010200000002000000D02088D041F15AC02819A2A593224940F00D87D041F15AC078C7DC6185224940,pole/54173,pole/54065,OSP:MESS:C666429,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
