id,name,in_structure,out_structure
ug_route/165462,OSP:BUSP:C660320,st_struct_pedestal/68283,st_struct_pedestal/69343
ug_route/165463,OSP:BUSP:C659531,mywcom_route_junction/21630,mywcom_route_junction/21487
ug_route/165464,OSP:BUSP:C668676,st_struct_pedestal/69147,building/49259
ug_route/165465,OSP:FBSP:C652867,pole/40968,building/49982
ug_route/165466,OSP:BUSP::15996093,st_struct_pedestal/67401,st_struct_pedestal/69122
ug_route/165467,OSP:BUSP:C648799,st_struct_pedestal/68687,building/50678
ug_route/165468,OSP:BUSP:C640313,st_struct_pedestal/68512,st_struct_pedestal/67211
ug_route/165469,OSP:BUSP:C648062,st_struct_pedestal/69467,building/51471
ug_route/165470,OSP:BUSP::10275412,st_struct_pedestal/68984,building/50458
ug_route/165471,OSP:BUSP:C641738,st_struct_pedestal/69047,building/50101
ug_route/165472,OSP:BUSP:C655207,st_struct_pedestal/68828,building/51065
ug_route/165473,OSP:BUSP::10768198,st_struct_pedestal/69078,building/50449
ug_route/165474,OSP:FBSP::8382858,st_struct_pedestal/69155,st_struct_pedestal/68221
ug_route/165475,OSP:BUSP:C644182,st_struct_pedestal/69815,st_struct_pedestal/67577
ug_route/165476,OSP:BUSP::11479223,st_struct_pedestal/69789,st_struct_buried_splice_location/2658
ug_route/165477,OSP:BUSP:C640756,st_struct_pedestal/67644,building/49620
ug_route/165478,OSP:BUSP:C660154,st_struct_pedestal/69640,st_struct_pedestal/67858
ug_route/165479,OSP:BUSP::8399817,st_struct_pedestal/67713,st_struct_pedestal/67607
ug_route/165480,OSP:BUSP:C665627,st_struct_pedestal/69211,building/50925
ug_route/165481,OSP:FORSP::16958669,st_struct_vault/2450,pole/41619
ug_route/165482,OSP:BUSP:C649758,st_struct_pedestal/67823,building/50419
ug_route/165483,OSP:BUSP::10720524,st_struct_pedestal/68680,mywcom_route_junction/21387
ug_route/165484,OSP:BUSP:C641442,st_struct_pedestal/67048,building/51448
ug_route/165485,OSP:FBSP:C667253,mywcom_route_junction/21383,building/49271
ug_route/165486,OSP:BUSP:C659781,st_struct_pedestal/68504,st_struct_pedestal/69249
ug_route/165487,OSP:FBSP::11678871,st_struct_pedestal/67082,building/49835
ug_route/165488,OSP:BUSP:C657474,st_struct_pedestal/67261,st_struct_pedestal/68562
ug_route/165489,OSP:BUSP:C659768,st_struct_pedestal/69146,st_struct_pedestal/68266
