id,name
pole/41565,POL:PPOLE:C538909
st_struct_pedestal/68543,PED:JSPED::8978769
building/50037,BUILD:SDU:C527621
pole/41078,POL:PPOLE:C531335
st_struct_pedestal/69131,PED:JSPED:C573862
st_struct_pedestal/68252,PED:CPM:C539655
pole/42627,POL:PPOLE:C528273
pole/42553,POL:PPOLE:C530181
st_struct_pedestal/69729,PED:JSPED:C547526
mywcom_route_junction/21455,SPJCT:SPJCT:C571162
building/50348,BUILD:SDU:C534517
st_struct_pedestal/67959,PED:CPM:C528338
pole/41810,POL:CPOLE:C533425
anchors/10308,ANCH:JOINT:C47061
st_struct_pedestal/67786,PED:CPM:C557395
st_struct_pedestal/67602,PED:JSPED:C529988
mywcom_route_junction/21319,SPJCT:SPJCT:C531153
building/49125,BUILD:BUS:C536558
pole/41172,POL:PPOLE:C534689
pole/42720,POL:PPOLE:C539819
st_struct_pedestal/68652,PED:JSPED::8978763
mywcom_route_junction/21195,SPJCT:SPJCT:C534789
pole/40873,POL:PPOLE:C532548
pole/42509,POL:PPOLE:C544180
st_struct_pedestal/70063,PED:JSPED::8356423
anchors/10008,ANCH:CO:C46660
pole/40928,POL:PPOLE:C523776
mywcom_route_junction/21346,SPJCT:SPJCT:C539428
st_struct_pedestal/69343,PED:SST:C542238
pole/42292,POL:PPOLE:C537360
mywcom_route_junction/21120,SPJCT:SPJCT:C538237
st_struct_buried_splice_location/2732,CLOSR:BSCLS:C531836
building/51165,BUILD:SDU:C534993
pole/40507,POL:PPOLE:C548678
st_struct_pedestal/69391,PED:JSPED:C548368
st_struct_foreign_crossings/3270,FCROS:PLX:C53757
cabinet/2421,CAB:JWIEX::9076333
building/51439,BUILD:SDU:C532101
st_struct_pedestal/69871,PED:CPM:C537191
anchors/10078,ANCH:CO:C47445
building/51267,BUILD:SDU:C532194
mywcom_route_junction/21432,SPJCT:SPJCT:C528452
building/51307,BUILD:BUS:C528005
pole/40677,POL:PPOLE:C534587
building/51466,BUILD:BUS:C547404
st_struct_pedestal/70587,PED:JSPED:C573070
building/49644,BUILD:BUS:C536554
st_struct_pedestal/68871,PED:CPM:C546548
st_struct_pedestal/69978,PED:CPM:C546230
st_struct_pedestal/69218,PED:JSPED:C539084
st_struct_pedestal/67064,PED:JTPED:C571971
st_struct_pedestal/70062,PED:JSPED:C573838
pole/40535,POL:PPOLE:C540831
pole/41075,POL:PPOLE:C524201
building/49209,BUILD:BUS:C571137
mywcom_route_junction/20942,SPJCT:SPJCT:C540628
pole/42490,POL:PPOLE:C537525
pole/41784,POL:PPOLE:C536073
pole/42662,POL:PPOLE:C523807
building/48955,BUILD:SDU:C534456
st_struct_pedestal/67815,PED:JSPED:C573039
mywcom_route_junction/20896,SPJCT:SPJCT:C527785
st_struct_pedestal/70410,PED:SST:C534878
st_struct_pedestal/70415,PED:CPM:C542945
pole/41874,POL:PPOLE:C524203
mywcom_route_junction/21269,PJCT:SPJCT::10600524
pole/41292,POL:PPOLE::7749277
st_struct_pedestal/68538,PED:SST::8290090
st_struct_pedestal/67104,PED:CPM:C531115
building/51321,BUILD:SDU:C557123
building/49764,BUILD:MDU:C535346
mywcom_route_junction/21862,SPJCT:SPJCT::13253724
pole/42075,POL:PPOLE:C540045
st_struct_pedestal/69417,PED:JSPED:C536273
st_struct_pedestal/67175,PED:CPM:C540937
building/50216,BUILD:BUS::7386406
st_struct_pedestal/69800,PED:CPM:C532439
pole/42483,POL:PPOLE:C532626
building/50637,BUILD:SDU:C549474
st_struct_pedestal/68885,PED:CPM:C528070
st_struct_vault/2435,VAULT:MH-S:C531239
st_struct_pedestal/69907,PED:SST:C530165
pole/40645,POL:PPOLE:C540828
pole/41374,POL:PPOLE:C539732
anchors/10224,ANCH:CO:C47676
st_struct_pedestal/70473,PED:CPM:C533100
pole/42326,POL:PPOLE:C533059
mywcom_route_junction/21332,SPJCT:SPJCT::8035080
building/51072,BUILD:SDU:C531452
st_struct_pedestal/68910,PED:JSPED:C536695
st_struct_pedestal/69732,PED:SST:C541678
building/50403,BUILD:BUS:C534949
st_struct_pedestal/68398,PED:JSPED:C535153
st_struct_pedestal/68171,PED:SST:C548650
mywcom_route_junction/21320,SPJCT:SPJCT::9068330
st_struct_pedestal/69790,PED:JSPED:C534346
anchors/10187,ANCH:JOINT::6994707
building/49775,BUILD:BUS:C547466
st_struct_pedestal/67039,PED:SST:C550394
building/51082,BUILD:MDU::9106737
pole/42272,POL:PPOLE:C547266
building/49609,BUILD:SDU:C546376
mywcom_route_junction/21723,SPJCT:SPJCT:C571201
building/50316,BUILD:BUS:C537543
pole/40888,POL:PPOLE:C549861
building/51348,BUILD:BUS::10058166
pole/40512,POL:PPOLE::9229994
anchors/10481,ANCH:CO:C47359
st_struct_pedestal/70548,POL:SVMST::8035066
mywcom_route_junction/21773,SPJCT:SPJCT::9861996
st_struct_pedestal/69581,PED:SST:C534518
mywcom_route_junction/21190,SPJCT:SPJCT:C534819
st_struct_pedestal/67836,PED:SST:C533167
pole/42124,POL:PPOLE:C571038
st_struct_pedestal/70218,PED:SST:C543792
st_struct_pedestal/67676,PED:JSPED:C528833
building/51413,BUILD:SDU:C538620
st_struct_pedestal/70707,PED:SST:C550424
building/49194,BUILD:BUS:C531392
st_struct_pedestal/70568,PED:CPM:C556888
anchors/10529,ANCH:JOINT:C46833
building/49915,BUILD:SDU:C533484
building/49426,BUILD:BUS:C573808
st_struct_buried_splice_location/2723,CLOSR:BSCLS:C531683
pole/41212,POL:PPOLE:C531300
pole/42839,POL:PPOLE:C531071
mywcom_route_junction/21938,PJCT:SPJCT::11257804
building/49540,BUILD:BUS::9712234
st_struct_pedestal/68732,PED:JSPED:C535577
pole/42638,POL:CPOLE:C571006
building/50402,BUILD:BUS:C543036
building/50237,BUILD:SDU:C536772
st_struct_pedestal/67841,PED:CPM:C541652
st_struct_pedestal/67597,PED:JSPED::10670036
pole/41348,POL:PPOLE:C529194
building/50095,BUILD:BUS:C572482
building/51042,BUILD:SDU:C537335
mywcom_route_junction/21367,SPJCT:SPJCT:C570056
building/49095,BUILD:BUS:C573805
pole/41767,POL:PPOLE:C532290
pole/41585,POL:PPOLE:C532647
st_struct_foreign_crossings/3129,FCROS:PLX:C47374
pole/41728,POL:PPOLE:C527138
building/48751,BUILD:BUS:C548591
st_struct_pedestal/67834,PED:JSPED:C532419
mywcom_route_junction/21739,SPJCT:SPJCT::9043729
st_struct_pedestal/67255,PED:SST:C548657
st_struct_pedestal/68415,PED:JSPED:C532837
st_struct_pedestal/69961,PED:CPM:C533153
mywcom_route_junction/21272,PJCT:SPJCT::11231562
pole/41327,POL:PPOLE:C535490
pole/40557,POL:PPOLE:C524257
pole/41805,POL:PPOLE:C536401
st_struct_pedestal/69820,PED:SST::9604110
st_struct_pedestal/68724,PED:JSPED:C529798
st_struct_pedestal/69060,PED:CPM:C526875
anchors/10457,ANCH:JOINT::6989588
st_struct_pedestal/70282,PED:CPM:C534583
mywcom_route_junction/21945,SPJCT:SPJCT::8389610
building/48983,BUILD:SDU:C538482
building/50297,BUILD:SDU:C557122
pole/40746,POL:PPOLE:C538916
st_struct_pedestal/67456,PED:CPM:C532972
building/48959,BUILD:SDU:C536445
st_struct_pedestal/70313,PED:CPM:C533579
pole/41855,POL:PPOLE:C523542
pole/40903,POL:PPOLE:C532556
building/51118,BUILD:SDU:C541730
pole/40544,POL:PPOLE:C532050
st_struct_foreign_crossings/3136,FCROS:PLX:C47421
st_struct_pedestal/68242,PED:CPM:C536376
st_struct_pedestal/70765,PED:JSPED:C573068
st_struct_buried_splice_location/2683,CLOSR:BSCLS:C528840
pole/41824,POL:PPOLE:C525466
st_struct_pedestal/70170,PED:SST:C532330
st_struct_pedestal/69946,PED:SST:C547894
mywcom_route_junction/21813,SPJCT:SPJCT:C537561
anchors/10258,ANCH:CO:C47450
st_struct_pedestal/70652,PED:CPM:C536340
st_struct_pedestal/67131,PED:CPM:C525780
st_struct_pedestal/70634,PED:CPM:C541122
st_struct_pedestal/69410,PED:JTPED:C545381
st_struct_pedestal/68846,PED:SST:C547943
anchors/10420,ANCH:JOINT:C45703
st_struct_pedestal/68226,PED:JSPED:C526218
pole/40914,POL:PPOLE:C533040
pole/40707,POL:PPOLE:C527269
building/51024,BUILD:SDU:C527733
st_struct_pedestal/67717,PED:JSPED:C547521
building/51096,BUILD:SDU:C538447
building/49098,BUILD:MDU::9573978
mywcom_route_junction/22031,SPJCT:SPJCT:C531077
st_struct_pedestal/68402,PED:SST:C539860
st_struct_pedestal/68132,PED:SST::8459050
mywcom_route_junction/21715,SPJCT:SPJCT:C539078
building/50869,BUILD:BUS:C543923
st_struct_pedestal/70049,PED:CPM:C527744
building/51087,BUILD:BUS:C550340
pole/42462,POL:PPOLE:C535799
building/51409,BUILD:SDU:C556954
mywcom_route_junction/21732,SPJCT:SPJCT::8411058
st_struct_pedestal/68497,PED:JTPED:C546476
st_struct_pedestal/68093,PED:SST:C539345
mywcom_route_junction/21503,SPJCT:SPJCT:C539215
building/48981,BUILD:BUS:C572725
pole/42448,POL:PPOLE:C528406
building/51410,BUILD:SDU:C535365
st_struct_pedestal/68390,PED:SST:C548566
st_struct_pedestal/67876,PED:CPM:C541470
pole/42571,POL:PPOLE:C534127
st_struct_vault/2482,VAULT:MH-T:C530782
mywcom_route_junction/21626,SPJCT:SPJCT:C538572
building/49105,BUILD:SDU:C546232
anchors/10276,ANCH:CO:C47267
pole/42438,POL:PPOLE:C527013
building/48873,BUILD:BUS:C534190
building/49909,BUILD:BUS:C536414
mywcom_route_junction/21185,SPJCT:SPJCT:C529914
st_struct_pedestal/70221,PED:JSPED:C546768
anchors/10206,ANCH:JOINT:C47361
building/49538,BUILD:BUS:C540437
pole/41484,POL:PPOLE:C536397
anchors/10440,ANCH:CO:C53073
st_struct_pedestal/69122,PED:SST::12627094
pole/41115,POL:PPOLE:C526933
pole/40579,POL:PPOLE:C572502
pole/40712,POL:PPOLE:C533066
building/50180,BUILD:MDU:C531348
building/49270,BUILD:BUS:C547748
pole/41402,POL:PPOLE:C535558
building/49693,BUILD:SDU:C542762
st_struct_pedestal/67196,POL:SVMST::8035057
building/50255,BUILD:BUS:C534812
pole/41229,POL:PPOLE:C528373
building/49257,BUILD:SDU:C538578
mywcom_route_junction/20993,PJCT:SPJCT::11147402
pole/42023,POL:PPOLE:C546730
building/50925,BUILD:SDU:C546293
pole/41940,POL:PPOLE:C537373
st_struct_pedestal/70756,PED:CPM:C530975
st_struct_pedestal/67071,PED:CPM:C543958
pole/40969,POL:PPOLE:C526240
pole/41885,POL:PPOLE:C534236
building/48878,BUILD:MDU::9106741
mywcom_route_junction/21489,SPJCT:SPJCT:C539279
building/49311,BUILD:BUS:C548608
pole/42583,POL:PPOLE::8336812
st_struct_pedestal/68631,PED:CPM:C527718
pole/41490,POL:PPOLE:C537562
st_struct_pedestal/70747,PED:CPM:C531975
st_struct_pedestal/70613,PED:JSPED::13533693
building/51354,BUILD:SDU:C541857
building/49456,BUILD:SDU:C543784
mywcom_route_junction/21749,SPJCT:SPJCT::12368526
pole/42090,POL:PPOLE:C537662
pole/41634,POL:PPOLE:C524198
pole/41143,POL:PPOLE:C527132
mywcom_route_junction/22022,PJCT:SPJCT::10335585
building/49200,BUILD:SDU:C542617
building/51241,BUILD:BUS:C538615
