id,name,location
st_struct_pedestal/91524,PED:SST:C530893,0101000020E6100000B8D564A70EE65AC0F8C45A19E02D4940
st_struct_pedestal/92976,PED:SST:C534480,0101000020E6100000185B07BBCCE95AC0609F10D97E164940
st_struct_pedestal/91681,PED:CPM:C527529,0101000020E6100000C0CA5F2904F55AC048747A71F14C4940
building/68517,BUILD:SDU:C541713,0101000020E610000024F12B6914EC5AC070A5CEAB532B4940
building/67145,BUILD:BUS::10522122,0101000020E610000058FA95A3470A5BC0C0227FD0FD364940
st_struct_pedestal/91966,PED:JTPED:C570083,0101000020E6100000605F758E68F45AC0705EEFADB1264940
building/66771,BUILD:BUS::10682168,0101000020E6100000281F1CC827F35AC0D0A9DF7D3C244940
mywcom_route_junction/27480,SPJCT:SPJCT:C536974,0101000020E6100000B0CB0685E0F45AC040DC3DFCD9244940
mywcom_route_junction/27936,PJCT:SPJCT::10840526,0101000020E6100000F8DFCBF681FB5AC0306C4D8D6C254940
st_struct_pedestal/93188,PED:JSPED:C535090,0101000020E610000098BF5D84B6F35AC010F5BD1E7D264940
st_struct_pedestal/91617,PED:JTPED:C572018,0101000020E610000080971D38A0F35AC0B89C549901264940
pole/54292,POL:PPOLE:C535757,0101000020E610000050833426EEF25AC0E81A3E0D0B234940
pole/52858,POL:PPOLE:C526270,0101000020E610000038CC8333B9F35AC0D0B7436571254940
anchors/14284,ANCH:CO:C47676,0101000020E610000014F89128E2F15AC020EA848B2D244940
pole/53648,POL:PPOLE:C526513,0101000020E610000024A7B3E981F35AC0F002BF8FA8244940
st_struct_pedestal/94026,PED:SST:C539722,0101000020E61000001413AD72E7045BC078A03090F63A4940
st_struct_pedestal/90830,PED:CPM:C538042,0101000020E610000028D0BF0E30075BC0A035CE5FCE334940
pole/53782,POL:PPOLE:C546819,0101000020E61000009C28AECF41F15AC0F025EAF8F4224940
st_struct_pedestal/91591,PED:SST:C527797,0101000020E6100000B451B3F3B5F25AC0408F46E2BE484940
pole/54403,POL:PPOLE:C571004,0101000020E6100000ACF9BBEE82F25AC0904D1D1177244940
mywcom_route_junction/27728,SPJCT:SPJCT:C530812,0101000020E6100000E084C78607F25AC080736AC70A4B4940
st_struct_pedestal/93069,PED:JSPED:C535362,0101000020E6100000405C40356CF45AC038A7221A7F264940
pole/53790,POL:PPOLE:C524143,0101000020E6100000740E5EEE85F15AC0F083544010254940
cabinet/2783,CAB:JWIEX::9076333,0101000020E61000004801ED3728F35AC0581F7C8682244940
st_struct_pedestal/92463,PED:CPM:C526672,0101000020E61000003CF10813ABDA5AC0B81F47E579454940
anchors/14570,ANCH:CO:C46801,0101000020E6100000F0B6A17B79F25AC0F800BAF53B254940
st_struct_pedestal/93251,PED:CPM:C538338,0101000020E6100000CC3AFE992EF15AC02019270238044940
st_struct_pedestal/91026,PED:SST:C529275,0101000020E610000080B6233C84F35AC008AB2548E5234940
pole/54261,POL:PPOLE:C530131,0101000020E610000060DB95A2E4F25AC0C029D3D296254940
mywcom_route_junction/27823,PJCT:SPJCT::10531094,0101000020E61000004062868990F25AC0D8C6B76862244940
pole/54532,POL:PPOLE:C530372,0101000020E610000088B3F63202F25AC0184657AFC3244940
st_struct_buried_splice_location/3885,CLOSR:BSCLS:C542481,0101000020E6100000A4DAEB002FF05AC030FA1769EB234940
st_struct_pedestal/91233,PED:JSPED:C535292,0101000020E61000003869037877F35AC0F8A8BDCA92264940
pole/53718,POL:PPOLE:C529055,0101000020E610000020F7938205F35AC0106B11EEA1234940
building/67761,BUILD:SDU:C535033,0101000020E61000004C11F4D855055BC0C825C2E4582A4940
pole/53066,POL:PPOLE:C539814,0101000020E61000007C11768244F25AC0D0A7CE7071234940
st_struct_pedestal/92274,PED:CPM:C548710,0101000020E610000090B4012968F75AC010223CEE5C324940
pole/52309,POL:PPOLE:C531229,0101000020E6100000C40453D285F25AC030975E4C87254940
st_struct_pedestal/93575,PED:JLPED::8341669,0101000020E61000006499EF27DDF25AC09898CEBE1A254940
building/68208,BUILD:BUS:C548203,0101000020E6100000A4AC1388B8F45AC0A07E8B7956244940
building/66938,BUILD:SDU:C525603,0101000020E61000009462864794E75AC0C0B819B0DC364940
pole/53710,POL:PPOLE:C534732,0101000020E6100000EC5A654DFCF25AC0081D76778E244940
building/67115,BUILD:SDU:C542898,0101000020E610000080F2645589F35AC068F187DE63164940
anchors/14111,ANCH:CO:C47477,0101000020E6100000F4DC8D2E04F35AC0F0552B805A224940
building/66257,BUILD:SDU:C531728,0101000020E61000000C600B26B0DE5AC0A8ACDE0285364940
pole/53253,POL:PPOLE:C532329,0101000020E610000010FFBC1806F25AC0B086D7D735264940
pole/53197,POL:PPOLE:C530148,0101000020E61000004C64658201F35AC0F850B92EA1254940
pole/52536,POL:PPOLE:C537041,0101000020E6100000C47823AC53F35AC02038D5973B244940
st_struct_pedestal/94322,PED:SST::11427427,0101000020E61000005403973E69EA5AC0D08C223162544940
st_struct_pedestal/92592,PED:SST::10558928,0101000020E6100000EC7705FB7FF15AC088B18B90E4274940
pole/53255,POL:PPOLE:C530646,0101000020E61000003836724578F25AC0888D798ACD244940
anchors/14574,ANCH:CO:C45957,0101000020E6100000A4B643DF97F15AC058ED91D5C6244940
mywcom_route_junction/27484,SPJCT:SPJCT:C532337,0101000020E6100000AC58359BB6F25AC0B009124341254940
anchors/14564,ANCH:CO:C47397,0101000020E6100000A09D75BB8EF35AC010687A6D1C244940
pole/53401,POL:PPOLE:C537529,0101000020E6100000CCA3C6AA7FF35AC0A0B4F08F53244940
st_struct_pedestal/93329,PED:SST::8185115,0101000020E6100000E81A79951FF25AC0E04BE5B0E5234940
building/67276,BUILD:SDU:C524336,0101000020E61000003CAB696A7BE05AC040D1C3DD14404940
st_struct_buried_splice_location/3931,CLOSR:BSCLS:C558337,0101000020E6100000F47E1DE467F45AC060FEA3D9F6294940
st_struct_foreign_crossings/4670,FCROS:RRX:C48232,0101000020E610000080B12B1E78F35AC0601A91257C154940
pole/53582,POL:PPOLE:C531082,0101000020E6100000943B9BA4E5F25AC0B099B7157B244940
building/68141,BUILD:SDU:C538482,0101000020E610000084984BAAB6F55AC0F0CF9AF9773B4940
pole/54562,POL:PPOLE::7748961,0101000020E6100000B0E70F26F5F35AC0A8EDBE814E244940
pole/54331,POL:PPOLE:C531488,0101000020E61000008CE3242028F25AC0F0EEA4FF11264940
st_struct_pedestal/92760,PED:SST:C539229,0101000020E6100000EC38D8AAE3F05AC020F98B5F8C274940
st_struct_buried_splice_location/3983,CLOSR:BSCLS:C546522,0101000020E6100000C84D07C4A1F05AC02869F3DC1B1F4940
pole/52427,POL:PPOLE:C532756,0101000020E6100000005E33E7A3F25AC00803EF8129264940
building/68834,BUILD:BUS:C540438,0101000020E61000009CC8729622F25AC0C80C4D7937274940
st_struct_pedestal/91702,PED:JSPED:C538638,0101000020E610000044FE263590F35AC068E742EC594C4940
st_struct_pedestal/91803,PED:SST:C543839,0101000020E61000003C8998AA45F45AC000C6F26F56244940
st_struct_pedestal/91336,PED:SST:C550510,0101000020E610000054CF3AC4AEF15AC0C8395DF584274940
building/68638,BUILD:SDU:C535223,0101000020E610000060E1D5868BE55AC068AE2C6E2F0B4940
mywcom_route_junction/28086,SPJCT:SPJCT:C548610,0101000020E6100000941C7FBB0FF35AC0D0275405DD254940
pole/52603,POL:PPOLE:C534223,0101000020E6100000385C9759E5F25AC0283985D46E244940
st_struct_foreign_crossings/4748,FCROS:RRX:C48255,0101000020E610000064E51389D4EC5AC0E01139DDEF2A4940
st_struct_pedestal/91145,PED:JSPED:C528850,0101000020E6100000A49FBE05BCF35AC0B039917786224940
st_struct_pedestal/90814,PED:CPM:C541154,0101000020E6100000B46FBBBEB9F55AC0D8DC21FD2A184940
mywcom_route_junction/27173,SPJCT:SPJCT::8356387,0101000020E61000003882C528C2F25AC0D87D65EA5D244940
st_struct_pedestal/91018,PED:SST:C531066,0101000020E61000007836363160F45AC038D61BDB49264940
st_struct_vault/2716,VAULT:MH-S:C532725,0101000020E61000003C0F49882DF45AC0E03076D46E244940
st_struct_pedestal/94159,PED:JTPED:C570077,0101000020E610000078385D23DDF35AC0E07D050B95264940
st_struct_pedestal/93037,PED:JSPED:C529945,0101000020E6100000E814D1CD23F45AC050603E1C4E264940
building/66956,BUILD:BUS:C549040,0101000020E6100000EC2244E045E65AC020384AA5322D4940
pole/52726,POL:PPOLE:C530643,0101000020E6100000F40AD8FC82F25AC090FED585CD244940
pole/52846,POL:CPOLE:C536377,0101000020E6100000D0D0F27B1CF45AC058A9191F54244940
building/66869,BUILD:SDU:C536495,0101000020E610000070348101A80F5BC06821EF2C6C2F4940
building/68070,BUILD:BUS:C538309,0101000020E610000098E10EEDA6F35AC088849F6D72244940
mywcom_route_junction/27201,SPJCT:SPJCT:C531286,0101000020E6100000683AB9E102F25AC0B8C7542C84244940
pole/52935,POL:PPOLE:C531300,0101000020E61000005C4D871605F25AC0E8771292BE254940
mywcom_route_junction/27644,SPJCT:SPJCT:C535215,0101000020E61000008C4481A11B0D5BC0D0525B52842A4940
building/68395,BUILD:SDU:C532726,0101000020E6100000C4F1C023B1DF5AC0D0C1963821304940
st_struct_pedestal/90996,PED:SST:C550429,0101000020E61000008C699D53B1F15AC0A8D648D35F274940
mywcom_route_junction/27987,PJCT:SPJCT::11147402,0101000020E6100000949E5D7C59F35AC03896D9B577244940
mywcom_route_junction/27219,SPJCT:SPJCT:C542793,0101000020E61000000C715A8D18F65AC06001F7CFE2244940
st_struct_pedestal/93423,PED:SST:C541772,0101000020E610000020182F5F7CEF5AC0D86C5178A60D4940
st_struct_pedestal/93246,PED:CPM:C540779,0101000020E6100000104DB26B21025BC0C8E8C6AFF0234940
st_struct_pedestal/92100,PED:SST:C549332,0101000020E6100000B81B374103055BC0281D9218CC3A4940
building/68631,BUILD:SDU:C543338,0101000020E61000002C8AC8F73FF05AC0F01F91778D234940
st_struct_pedestal/90825,PED:CPM:C539761,0101000020E61000003033425EA0F85AC04872DA6F87374940
mywcom_route_junction/28119,SPJCT:SPJCT:C541868,0101000020E6100000C44E9917F7F65AC070E64D6EA9244940
mywcom_route_junction/27240,SPJCT:SPJCT:C550503,0101000020E61000004CC2D68381F15AC0A8A9339E58274940
building/66255,BUILD:SDU::9257903,0101000020E610000034C946223FEE5AC0C0022F05F4294940
st_struct_pedestal/92899,PED:JSPED:C547535,0101000020E610000080FF0365A0F35AC060ECDDBC44264940
building/68019,BUILD:PS:C570551,0101000020E61000009CD1D2ECECF25AC0009701B377264940
st_struct_foreign_crossings/4695,FCROS:PLX:C52986,0101000020E6100000E8100ADABC035BC0B8F204C28E374940
pole/52970,POL:PPOLE:C533030,0101000020E610000064F8E7531BF25AC0A80C178435244940
cabinet/2824,CAB:JWI:C531007,0101000020E6100000F096BA4A28F35AC0C07C447C82244940
st_struct_pedestal/91613,PED:SST::9542602,0101000020E61000005075C91778F35AC0E850A06BF9254940
st_struct_pedestal/90959,PED:SST::8358251,0101000020E6100000EC39FCAAA6F25AC02875127C59244940
pole/53112,POL:PPOLE:C526473,0101000020E61000004C58854787F35AC0C06E198973254940
mywcom_route_junction/28159,SPJCT:SPJCT::8389029,0101000020E6100000F498E33D30F45AC01024AAB505264940
mywcom_route_junction/27680,SPJCT:SPJCT:C540413,0101000020E6100000F4DDBBA03AF35AC080836AAE53224940
st_struct_pedestal/93265,PED:SST:C544716,0101000020E6100000D468DB5E02ED5AC0088E0C8B740B4940
st_struct_pedestal/91781,PED:CPM:C536232,0101000020E6100000DCDB4A6838095BC0B0F8C6DD0E2F4940
